Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2013,Alameda,76413,4954,6.5,5163,6.8,3197,4.2,3630,4.8,2766,3.6,10464,13.7,11565,15.1,12381,16.2,5694,7.5,4424,5.8,6721,8.8,3768,4.9,1686,2.2
2013,Alhambra,84566,4910,5.8,3758,4.4,3342,4.0,5658,6.7,7066,8.4,13111,15.5,11318,13.4,12142,14.4,5636,6.7,4830,5.7,7448,8.8,2996,3.5,2351,2.8
2013,Anaheim,345015,23991,7.0,23929,6.9,23340,6.8,25264,7.3,26964,7.8,54551,15.8,46966,13.6,47326,13.7,18231,5.3,15957,4.6,22525,6.5,12399,3.6,3572,1.0
2013,Antioch,107098,6167,5.8,8549,8.0,8361,7.8,9122,8.5,8297,7.7,14313,13.4,12744,11.9,14807,13.8,7652,7.1,5164,4.8,7611,7.1,3212,3.0,1099,1.0
2013,Apple Valley,70923,3942,5.6,3975,5.6,5396,7.6,4426,6.2,6298,8.9,7558,10.7,6066,8.6,9500,13.4,6820,9.6,4144,5.8,7044,9.9,4366,6.2,1388,2.0
2013,Arden-Arcade,92438,6097,6.6,5819,6.3,4628,5.0,6367,6.9,6146,6.6,14425,15.6,11271,12.2,11131,12.0,5925,6.4,5204,5.6,7328,7.9,4722,5.1,3375,3.7
2013,Bakersfield,363630,34961,9.6,31374,8.6,27194,7.5,29663,8.2,29572,8.1,53752,14.8,47438,13.0,43399,11.9,17186,4.7,16413,4.5,18975,5.2,10202,2.8,3501,1.0
2013,Baldwin Park,76633,4319,5.6,5374,7.0,5559,7.3,6634,8.7,6996,9.1,9421,12.3,11414,14.9,11954,15.6,4601,6.0,3137,4.1,4697,6.1,1768,2.3,759,1.0
2013,Bellflower,77594,4639,6.0,4533,5.8,6082,7.8,5996,7.7,7188,9.3,10658,13.7,11372,14.7,10862,14.0,4904,6.3,3799,4.9,4883,6.3,1627,2.1,1051,1.4
2013,Berkeley,116774,4855,4.2,3794,3.2,3429,2.9,12169,10.4,17764,15.2,22728,19.5,13210,11.3,11420,9.8,5866,5.0,5846,5.0,9410,8.1,4603,3.9,1680,1.4
2013,Buena Park,82885,5659,6.8,4885,5.9,5595,6.8,6192,7.5,7935,9.6,11687,14.1,11619,14.0,11677,14.1,5088,6.1,4056,4.9,4937,6.0,2292,2.8,1263,1.5
2013,Burbank,104717,5491,5.2,6045,5.8,6159,5.9,4567,4.4,4562,4.4,17053,16.3,16701,15.9,15688,15.0,7195,6.9,4808,4.6,8818,8.4,5139,4.9,2491,2.4
2013,Camarillo,66076,4389,6.6,4249,6.4,4578,6.9,4154,6.3,2691,4.1,9724,14.7,9697,14.7,8283,12.5,3387,5.1,2907,4.4,6050,9.2,3524,5.3,2443,3.7
2013,Carlsbad,110977,5963,5.4,7615,6.9,8159,7.4,5464,4.9,5818,5.2,11280,10.2,15885,14.3,18471,16.6,8867,8.0,7249,6.5,7680,6.9,5841,5.3,2685,2.4
2013,Carmichael,66747,3727,5.6,4234,6.3,4990,7.5,4083,6.1,5105,7.6,8411,12.6,7642,11.4,9200,13.8,3842,5.8,3746,5.6,5798,8.7,4180,6.3,1789,2.7
2013,Carson,92597,5515,6.0,5904,6.4,5313,5.7,6109,6.6,7842,8.5,13297,14.4,10471,11.3,13698,14.8,5118,5.5,5772,6.2,7200,7.8,4823,5.2,1535,1.7
2013,Chico,88075,4737,5.4,3948,4.5,4672,5.3,8345,9.5,13809,15.7,13354,15.2,10258,11.6,9464,10.7,5276,6.0,4064,4.6,5670,6.4,2526,2.9,1952,2.2
2013,Chino,81001,5870,7.2,5212,6.4,5422,6.7,6688,8.3,7048,8.7,11118,13.7,11316,14.0,12864,15.9,4005,4.9,3800,4.7,4637,5.7,2428,3.0,593,0.7
2013,Chino Hills,76575,4435,5.8,4688,6.1,7009,9.2,5795,7.6,6534,8.5,7120,9.3,11537,15.1,13727,17.9,5526,7.2,3906,5.1,3207,4.2,2209,2.9,882,1.2
2013,Chula Vista,256765,16878,6.6,20137,7.8,20463,8.0,22293,8.7,16821,6.6,37469,14.6,33715,13.1,33588,13.1,13901,5.4,13325,5.2,14336,5.6,9834,3.8,4005,1.6
2013,Citrus Heights,85288,4450,5.2,4599,5.4,4151,4.9,4522,5.3,6984,8.2,14492,17.0,10385,12.2,12922,15.2,6693,7.8,4386,5.1,7165,8.4,3118,3.7,1421,1.7
2013,Clovis,99758,6358,6.4,7548,7.6,7843,7.9,7460,7.5,9085,9.1,11255,11.3,13794,13.8,13632,13.7,6003,6.0,4189,4.2,6718,6.7,3428,3.4,2445,2.5
2013,Compton,97872,7507,7.7,8803,9.0,8842,9.0,8995,9.2,8437,8.6,13697,14.0,12631,12.9,12315,12.6,4661,4.8,2806,2.9,5422,5.5,2702,2.8,1054,1.1
2013,Concord,125892,9748,7.7,9813,7.8,5823,4.6,6814,5.4,7315,5.8,20838,16.6,16235,12.9,16455,13.1,8446,6.7,6678,5.3,10243,8.1,4803,3.8,2681,2.1
2013,Corona,159507,10915,6.8,12574,7.9,11230,7.0,10769,6.8,12390,7.8,25129,15.8,21927,13.7,23927,15.0,9401,5.9,6446,4.0,9145,5.7,3485,2.2,2169,1.4
2013,Costa Mesa,112184,6633,5.9,6879,6.1,5856,5.2,6507,5.8,9288,8.3,24257,21.6,15762,14.1,16675,14.9,6238,5.6,4516,4.0,5290,4.7,2861,2.6,1422,1.3
2013,Daly City,104747,5274,5.0,4299,4.1,5290,5.1,6854,6.5,8710,8.3,17089,16.3,16098,15.4,12696,12.1,7535,7.2,5066,4.8,8070,7.7,5723,5.5,2043,2.0
2013,Davis,66197,2767,4.2,2894,4.4,3053,4.6,6537,9.9,15281,23.1,8730,13.2,6730,10.2,7467,11.3,3117,4.7,2625,4.0,3833,5.8,2004,3.0,1159,1.8
2013,Downey,113240,9062,8.0,5064,4.5,6659,5.9,8742,7.7,13684,12.1,16699,14.7,15574,13.8,13259,11.7,6938,6.1,3982,3.5,8046,7.1,3799,3.4,1732,1.5
2013,East Los Angeles,137967,11164,8.1,10828,7.8,11164,8.1,12413,9.0,13090,9.5,20623,14.9,21173,15.3,15010,10.9,5439,3.9,4704,3.4,6368,4.6,4211,3.1,1780,1.3
2013,El Cajon,102207,7615,7.5,9160,9.0,5709,5.6,7937,7.8,8170,8.0,16508,16.2,11005,10.8,13842,13.5,7208,7.1,4010,3.9,4983,4.9,3970,3.9,2090,2.0
2013,Elk Grove,161029,10249,6.4,13056,8.1,15971,9.9,15342,9.5,9308,5.8,17622,10.9,25152,15.6,22761,14.1,9065,5.6,7359,4.6,9700,6.0,4168,2.6,1276,0.8
2013,El Monte,115685,7268,6.3,8314,7.2,6905,6.0,8461,7.3,7570,6.5,18217,15.7,16256,14.1,14469,12.5,6500,5.6,5576,4.8,9042,7.8,5305,4.6,1802,1.6
2013,Escondido,148728,12258,8.2,9926,6.7,9114,6.1,10791,7.3,12809,8.6,24045,16.2,21113,14.2,19090,12.8,8675,5.8,5957,4.0,7668,5.2,4628,3.1,2654,1.8
2013,Fairfield,109302,7293,6.7,8316,7.6,8006,7.3,7607,7.0,10184,9.3,17402,15.9,13406,12.3,14597,13.4,6175,5.6,4702,4.3,6675,6.1,3514,3.2,1425,1.3
2013,Folsom,73099,5843,8.0,5422,7.4,4679,6.4,2959,4.0,3546,4.9,9863,13.5,12199,16.7,10995,15.0,4846,6.6,3960,5.4,4748,6.5,3146,4.3,893,1.2
2013,Fontana,203008,14892,7.3,19074,9.4,18911,9.3,16438,8.1,16994,8.4,32396,16.0,27918,13.8,24995,12.3,9429,4.6,8382,4.1,8514,4.2,3226,1.6,1839,0.9
2013,Fremont,224904,14682,6.5,17477,7.8,12836,5.7,12481,5.5,12872,5.7,34077,15.2,37005,16.5,34064,15.1,14980,6.7,10404,4.6,13967,6.2,6702,3.0,3357,1.5
2013,Fresno,509965,45591,8.9,44621,8.7,39365,7.7,39480,7.7,42737,8.4,82100,16.1,61221,12.0,56795,11.1,25685,5.0,23110,4.5,28595,5.6,12736,2.5,7929,1.6
2013,Fullerton,138979,8539,6.1,8165,5.9,7514,5.4,12200,8.8,11905,8.6,24819,17.9,16897,12.2,17459,12.6,7699,5.5,6349,4.6,8786,6.3,5541,4.0,3106,2.2
2013,Garden Grove,175115,10687,6.1,13281,7.6,11395,6.5,12406,7.1,14043,8.0,23370,13.3,24635,14.1,24049,13.7,10560,6.0,9801,5.6,11656,6.7,6646,3.8,2586,1.5
2013,Glendale,196000,12001,6.1,9114,4.7,8655,4.4,9910,5.1,12176,6.2,32575,16.6,27853,14.2,23967,12.2,14148,7.2,13810,7.0,15528,7.9,10519,5.4,5744,2.9
