Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2010,Alameda,73981,5117,6.9,4014,5.4,5528,7.5,5130,6.9,4012,5.4,8151,11,12792,17.3,11830,16,3702,5,5104,6.9,4279,5.8,2781,3.8,1541,2.1
2010,Alhambra,83202,3876,4.7,3666,4.4,3176,3.8,4841,5.8,6076,7.3,14695,17.7,12326,14.8,12235,14.7,4697,5.6,4215,5.1,7457,9,3481,4.2,2461,3
2010,Anaheim,337259,25346,7.5,21424,6.4,24568,7.3,29234,8.7,27046,8,51328,15.2,47451,14.1,46278,13.7,17763,5.3,15172,4.5,17544,5.2,10068,3,4037,1.2
2010,Antioch,102745,8481,8.3,8377,8.2,6526,6.4,7768,7.6,8066,7.9,13974,13.6,13062,12.7,15391,15,6905,6.7,4081,4,6486,6.3,2463,2.4,1165,1.1
2010,Apple Valley,69387,4366,6.3,4804,6.9,7051,10.2,5062,7.3,4595,6.6,7368,10.6,7942,11.4,9880,14.2,4383,6.3,3599,5.2,4401,6.3,4421,6.4,1515,2.2
2010,Arden-Arcade,87272,5132,5.9,5343,6.1,4048,4.6,4836,5.5,7559,8.7,12723,14.6,12347,14.1,10948,12.5,6408,7.3,4659,5.3,4596,5.3,5617,6.4,3056,3.5
2010,Bakersfield,348582,31075,8.9,28755,8.2,32470,9.3,29953,8.6,28365,8.1,50159,14.4,42924,12.3,45368,13,16199,4.6,13160,3.8,16748,4.8,10095,2.9,3311,0.9
2010,Baldwin Park,75496,5887,7.8,7109,9.4,7483,9.9,5972,7.9,3949,5.2,11935,15.8,11058,14.6,8272,11,4212,5.6,3097,4.1,4089,5.4,1826,2.4,607,0.8
2010,Bellflower,76717,5466,7.1,5097,6.6,5855,7.6,6561,8.6,5175,6.7,10056,13.1,12117,15.8,11004,14.3,4351,5.7,3046,4,4523,5.9,2735,3.6,731,1
2010,Berkeley,112824,4559,4,4798,4.3,3282,2.9,12895,11.4,19319,17.1,18922,16.8,10956,9.7,11311,10,6319,5.6,6814,6,8394,7.4,3860,3.4,1395,1.2
2010,Buena Park,80766,5859,7.3,5168,6.4,6041,7.5,5975,7.4,6676,8.3,11317,14,10330,12.8,13046,16.2,4391,5.4,3606,4.5,4027,5,3171,3.9,1159,1.4
2010,Burbank,103472,5260,5.1,5592,5.4,5750,5.6,5295,5.1,5511,5.3,16646,16.1,16314,15.8,16277,15.7,6145,5.9,5635,5.4,6636,6.4,4870,4.7,3541,3.4
2010,Camarillo,65406,3609,5.5,4369,6.7,4105,6.3,4039,6.2,2319,3.5,5854,9,8391,12.8,10927,16.7,3233,4.9,4428,6.8,6381,9.8,4971,7.6,2780,4.3
2010,Carlsbad,105707,5882,5.6,6941,6.6,5990,5.7,7093,6.7,6275,5.9,11721,11.1,16889,16,17660,16.7,9028,8.5,6045,5.7,5966,5.6,4648,4.4,1569,1.5
2010,Carson,91828,4707,5.1,4589,5,6800,7.4,8976,9.8,8124,8.8,9558,10.4,11252,12.3,14929,16.3,5854,6.4,5745,6.3,7180,7.8,3411,3.7,703,0.8
2010,Chico,86213,4512,5.2,4744,5.5,3100,3.6,8016,9.3,15619,18.1,12092,14,8689,10.1,10224,11.9,5256,6.1,4893,5.7,3918,4.5,3383,3.9,1767,2
2010,Chino,78237,5454,7,5514,7,6296,8,6530,8.3,6675,8.5,13373,17.1,11753,15,10170,13,4902,6.3,2249,2.9,3393,4.3,1147,1.5,781,1
2010,Chino Hills,75070,4308,5.7,4494,6,6266,8.3,6689,8.9,5417,7.2,8782,11.7,9940,13.2,13509,18,5806,7.7,4442,5.9,3427,4.6,1510,2,480,0.6
2010,Chula Vista,244789,18381,7.5,18608,7.6,18797,7.7,20003,8.2,18674,7.6,30388,12.4,36535,14.9,35254,14.4,13217,5.4,10230,4.2,13652,5.6,7813,3.2,3237,1.3
2010,Citrus Heights,83490,5550,6.6,4956,5.9,4337,5.2,6213,7.4,5406,6.5,11790,14.1,11929,14.3,13330,16,4898,5.9,3984,4.8,5055,6.1,4778,5.7,1264,1.5
2010,Clovis,95915,6656,6.9,7318,7.6,7130,7.4,8957,9.3,7062,7.4,12785,13.3,11970,12.5,12922,13.5,4660,4.9,4757,5,6010,6.3,3694,3.9,1994,2.1
2010,Compton,96558,8394,8.7,8219,8.5,8847,9.2,9728,10.1,8913,9.2,13619,14.1,12225,12.7,12310,12.7,4098,4.2,3841,4,4256,4.4,1523,1.6,585,0.6
2010,Concord,122508,8643,7.1,8146,6.6,6626,5.4,7310,6,7327,6,17606,14.4,19278,15.7,19754,16.1,7224,5.9,6155,5,7243,5.9,4828,3.9,2368,1.9
2010,Corona,153335,10133,6.6,11694,7.6,14556,9.5,14735,9.6,9909,6.5,17749,11.6,25486,16.6,22858,14.9,9277,6.1,5329,3.5,7709,5,3053,2,847,0.6
2010,Costa Mesa,110253,6597,6,7500,6.8,5958,5.4,7806,7.1,7684,7,23284,21.1,17271,15.7,14680,13.3,6187,5.6,3941,3.6,4398,4,2810,2.5,2137,1.9
2010,Daly City,101361,5928,5.8,6078,6,5757,5.7,6502,6.4,6768,6.7,16763,16.5,14040,13.9,14287,14.1,7331,7.2,6081,6,6757,6.7,3437,3.4,1632,1.6
2010,Davis,65740,3623,5.5,4819,7.3,3175,4.8,5065,7.7,15126,23,7827,11.9,7709,11.7,6215,9.5,4002,6.1,2417,3.7,3371,5.1,1676,2.5,715,1.1
2010,Downey,111922,6043,5.4,8447,7.5,9241,8.3,8559,7.6,8114,7.2,15848,14.2,17479,15.6,16159,14.4,6327,5.7,4409,3.9,6110,5.5,3089,2.8,2097,1.9
2010,East Los Angeles,127198,8413,6.6,11271,8.9,11372,8.9,12033,9.5,10994,8.6,21425,16.8,18309,14.4,12813,10.1,5665,4.5,5060,4,5503,4.3,3406,2.7,934,0.7
2010,El Cajon,99841,8099,8.1,6114,6.1,8373,8.4,8411,8.4,9243,9.3,15067,15.1,12004,12,14999,15,4559,4.6,3229,3.2,5146,5.2,3372,3.4,1225,1.2
2010,Elk Grove,153401,10536,6.9,12954,8.4,13955,9.1,12339,8,9101,5.9,18690,12.2,21823,14.2,24598,16,8836,5.8,6862,4.5,8553,5.6,3290,2.1,1864,1.2
2010,El Monte,113614,7905,7,6674,5.9,8209,7.2,10527,9.3,8631,7.6,16660,14.7,15287,13.5,14923,13.1,6665,5.9,5201,4.6,6704,5.9,4413,3.9,1815,1.6
2010,Escondido,144402,10938,7.6,9431,6.5,10238,7.1,9142,6.3,10662,7.4,24066,16.7,19133,13.2,16801,11.6,6094,4.2,6008,4.2,7375,5.1,7855,5.4,6659,4.6
2010,Fairfield,105580,7418,7,9082,8.6,8667,8.2,6823,6.5,7664,7.3,16074,15.2,13886,13.2,15683,14.9,5951,5.6,3991,3.8,6162,5.8,3442,3.3,737,0.7
2010,Folsom,72348,4968,6.9,5729,7.9,4149,5.7,3373,4.7,5048,7,11038,15.3,12355,17.1,13246,18.3,3321,4.6,2648,3.7,3471,4.8,1902,2.6,1100,1.5
2010,Fontana,196778,15750,8,16426,8.3,16789,8.5,17439,8.9,13421,6.8,31182,15.8,29630,15.1,29274,14.9,8541,4.3,5636,2.9,7928,4,3387,1.7,1375,0.7
2010,Fremont,214613,15615,7.3,14998,7,12729,5.9,11702,5.5,12316,5.7,30866,14.4,35471,16.5,35860,16.7,12462,5.8,11122,5.2,10860,5.1,7242,3.4,3370,1.6
2010,Fresno,496147,43058,8.7,42004,8.5,41973,8.5,42491,8.6,43810,8.8,77799,15.7,59875,12.1,56104,11.3,23279,4.7,20995,4.2,23838,4.8,13592,2.7,7329,1.5
2010,Fullerton,135541,8394,6.2,8931,6.6,10050,7.4,10236,7.6,12320,9.1,19046,14.1,19344,14.3,18977,14,5675,4.2,6416,4.7,8007,5.9,5269,3.9,2876,2.1
2010,Garden Grove,171386,11207,6.5,12530,7.3,10308,6,12827,7.5,14693,8.6,23374,13.6,28310,16.5,22442,13.1,9279,5.4,6830,4,9651,5.6,6537,3.8,3398,2
2010,Glendale,191954,9887,5.2,10189,5.3,12688,6.6,12518,6.5,11299,5.9,26031,13.6,27515,14.3,31186,16.2,14106,7.3,10301,5.4,12540,6.5,10793,5.6,2901,1.5
2010,Hawthorne,84382,6913,8.2,7153,8.5,6533,7.7,5613,6.7,5486,6.5,15806,18.7,12278,14.6,11178,13.2,4027,4.8,2209,2.6,4356,5.2,1999,2.4,831,1
2010,Hayward,144549,10885,7.5,11255,7.8,9478,6.6,9528,6.6,12131,8.4,23436,16.2,19833,13.7,20938,14.5,7649,5.3,6187,4.3,6734,4.7,4651,3.2,1844,1.3
2010,Hemet,79157,7242,9.1,6700,8.5,4585,5.8,6549,8.3,4052,5.1,9314,11.8,8105,10.2,9102,11.5,3273,4.1,3916,4.9,7263,9.2,5551,7,3505,4.4
2010,Hesperia,90486,8577,9.5,6540,7.2,6357,7,9825,10.9,7802,8.6,9770,10.8,10590,11.7,12585,13.9,4797,5.3,4623,5.1,4333,4.8,3381,3.7,1306,1.4
2010,Huntington Beach,190541,10051,5.3,9109,4.8,10982,5.8,12266,6.4,13056,6.9,24676,13,24659,12.9,31224,16.4,12858,6.7,12972,6.8,15401,8.1,9522,5,3765,2
2010,Indio,76512,5405,7.1,6914,9,7237,9.5,6678,8.7,4390,5.7,10080,13.2,8518,11.1,9302,12.2,3228,4.2,3766,4.9,6619,8.7,2953,3.9,1422,1.9
2010,Inglewood,109799,9612,8.8,7010,6.4,6953,6.3,8195,7.5,9695,8.8,17228,15.7,14956,13.6,15660,14.3,5682,5.2,4466,4.1,6762,6.2,2884,2.6,696,0.6
2010,Irvine,212982,9712,4.6,13975,6.6,12437,5.8,18767,8.8,22980,10.8,34539,16.2,34736,16.3,26930,12.6,11933,5.6,8957,4.2,11014,5.2,4824,2.3,2178,1
2010,Lake Forest,77482,5582,7.2,6028,7.8,7075,9.1,5374,6.9,3508,4.5,8471,10.9,13438,17.3,13716,17.7,3570,4.6,2859,3.7,4328,5.6,2362,3,1171,1.5
2010,Lakewood,80154,5941,7.4,5924,7.4,4485,5.6,5716,7.1,5464,6.8,11895,14.8,8375,10.4,12046,15,6512,8.1,4221,5.3,4750,5.9,3353,4.2,1472,1.8
2010,Lancaster,156786,11660,7.4,13450,8.6,13856,8.8,14591,9.3,10890,6.9,22624,14.4,18817,12,22363,14.3,8474,5.4,6040,3.9,7808,5,4032,2.6,2181,1.4
2010,Livermore,81178,5270,6.5,4474,5.5,6030,7.4,5689,7,4952,6.1,9111,11.2,12768,15.7,15156,18.7,5406,6.7,4335,5.3,4918,6.1,2131,2.6,938,1.2
2010,Long Beach,462793,31283,6.8,29521,6.4,30291,6.5,39513,8.5,38693,8.4,73918,16,68958,14.9,60468,13.1,25926,5.6,23425,5.1,23095,5,12267,2.7,5435,1.2
2010,Los Angeles,3797144,253235,6.7,240024,6.3,235063,6.2,268034,7.1,319549,8.4,641454,16.9,565451,14.9,503397,13.3,204921,5.4,171903,4.5,214142,5.6,125949,3.3,54022,1.4
2010,Lynwood,69863,5347,7.7,5026,7.2,5514,7.9,8126,11.6,7103,10.2,10788,15.4,10785,15.4,8651,12.4,2732,3.9,2078,3,1950,2.8,1401,2,362,0.5
2010,Manteca,67338,6467,9.6,4120,6.1,7790,11.6,4891,7.3,3981,5.9,11107,16.5,6821,10.1,9433,14,4322,6.4,2284,3.4,3934,5.8,1407,2.1,781,1.2
2010,Menifee,78018,5448,7,6188,7.9,5175,6.6,4844,6.2,3061,3.9,8676,11.1,10343,13.3,8834,11.3,3739,4.8,4684,6,9151,11.7,4944,6.3,2931,3.8
2010,Merced,79254,7027,8.9,7226,9.1,6264,7.9,8293,10.5,6210,7.8,11774,14.9,9659,12.2,8567,10.8,3055,3.9,3340,4.2,4363,5.5,1926,2.4,1550,2
2010,Milpitas,67011,3816,5.7,3689,5.5,4196,6.3,3842,5.7,3998,6,12483,18.6,11290,16.8,9933,14.8,4524,6.8,3796,5.7,3247,4.8,1898,2.8,299,0.4
2010,Mission Viejo,93585,4648,5,4946,5.3,6496,6.9,5905,6.3,4731,5.1,10265,11,11617,12.4,17472,18.7,6966,7.4,6339,6.8,7992,8.5,4184,4.5,2024,2.2
2010,Modesto,201520,16316,8.1,15415,7.6,16074,8,14816,7.4,13589,6.7,28196,14,26614,13.2,23773,11.8,14145,7,9276,4.6,11120,5.5,7867,3.9,4319,2.1
2010,Moreno Valley,194592,16729,8.6,16518,8.5,20706,10.6,20184,10.4,15909,8.2,26686,13.7,27087,13.9,23292,12,8600,4.4,6773,3.5,6722,3.5,4537,2.3,849,0.4
2010,Mountain View,74320,4660,6.3,3625,4.9,3677,4.9,3742,5,4009,5.4,13581,18.3,16960,22.8,8690,11.7,3458,4.7,3103,4.2,5134,6.9,2092,2.8,1589,2.1
2010,Murrieta,104108,7644,7.3,10694,10.3,8788,8.4,9146,8.8,6896,6.6,15242,14.6,12941,12.4,13859,13.3,5167,5,3330,3.2,5016,4.8,3981,3.8,1404,1.3
2010,Napa,77122,5685,7.4,5239,6.8,4318,5.6,5771,7.5,4528,5.9,9602,12.5,10710,13.9,10878,14.1,4822,6.3,5016,6.5,4135,5.4,4611,6,1807,2.3
2010,Newport Beach,85442,2951,3.5,3479,4.1,5072,5.9,5892,6.9,5412,6.3,13493,15.8,9720,11.4,12561,14.7,5910,6.9,6221,7.3,8913,10.4,4181,4.9,1637,1.9
2010,Norwalk,105686,6283,5.9,8693,8.2,8566,8.1,8697,8.2,7276,6.9,14332,13.6,16947,16,14158,13.4,4706,4.5,5136,4.9,6149,5.8,3326,3.1,1417,1.3
2010,Oakland,391672,25360,6.5,24104,6.2,21260,5.4,23967,6.1,25154,6.4,65305,16.7,64385,16.4,52319,13.4,23660,6,19999,5.1,23788,6.1,13865,3.5,8506,2.2
2010,Oceanside,167680,10664,6.4,12027,7.2,11401,6.8,13292,7.9,11992,7.2,25261,15.1,22058,13.2,23802,14.2,9428,5.6,7342,4.4,9461,5.6,7598,4.5,3354,2
2010,Ontario,164517,11502,7,13764,8.4,12980,7.9,16802,10.2,14503,8.8,22793,13.9,25232,15.3,20576,12.5,8305,5,6425,3.9,7017,4.3,3556,2.2,1062,0.6
2010,Orange,136803,8481,6.2,8229,6,10820,7.9,12907,9.4,8124,5.9,18896,13.8,20095,14.7,20885,15.3,8565,6.3,5741,4.2,8461,6.2,4202,3.1,1397,1
2010,Oxnard,198484,17317,8.7,17369,8.8,13538,6.8,15417,7.8,18560,9.4,31179,15.7,25913,13.1,26342,13.3,8844,4.5,7854,4,8505,4.3,5875,3,1771,0.9
2010,Palmdale,152944,13232,8.7,15561,10.2,13707,9,15585,10.2,13214,8.6,18236,11.9,19937,13,22709,14.8,6232,4.1,5033,3.3,5686,3.7,3094,2,718,0.5
2010,Pasadena,137294,8487,6.2,6007,4.4,7468,5.4,6068,4.4,10196,7.4,26732,19.5,20769,15.1,22098,16.1,6892,5,5428,4,7174,5.2,5991,4.4,3984,2.9
2010,Perris,68816,6595,9.6,6569,9.5,7613,11.1,7376,10.7,4276,6.2,9972,14.5,12178,17.7,7254,10.5,2886,4.2,1436,2.1,1453,2.1,1075,1.6,133,0.2
2010,Pittsburg,63510,3896,6.1,5318,8.4,4930,7.8,4454,7,5400,8.5,11323,17.8,8513,13.4,7828,12.3,2532,4,3744,5.9,3410,5.4,1583,2.5,579,0.9
2010,Pleasanton,70456,4682,6.6,5979,8.5,6070,8.6,4960,7,4078,5.8,7800,11.1,10412,14.8,11795,16.7,4187,5.9,3298,4.7,4086,5.8,2226,3.2,883,1.3
2010,Pomona,149225,13818,9.3,13475,9,12772,8.6,14026,9.4,12404,8.3,21553,14.4,21475,14.4,17477,11.7,5798,3.9,5108,3.4,6302,4.2,3286,2.2,1731,1.2
2010,Rancho Cucamonga,165858,11459,6.9,12250,7.4,11900,7.2,12331,7.4,10696,6.4,24900,15,26028,15.7,28111,16.9,9503,5.7,7275,4.4,6034,3.6,3761,2.3,1610,1
2010,Redding,89901,6378,7.1,6302,7,6548,7.3,5729,6.4,6165,6.9,11803,13.1,10597,11.8,10276,11.4,6666,7.4,5669,6.3,7576,8.4,4004,4.5,2188,2.4
2010,Redlands,68994,4745,6.9,4146,6,4039,5.9,6509,9.4,5128,7.4,10702,15.5,8566,12.4,8391,12.2,3835,5.6,4152,6,4450,6.4,3137,4.5,1194,1.7
2010,Redondo Beach,66825,5138,7.7,3768,5.6,3368,5,2514,3.8,1867,2.8,11968,17.9,13621,20.4,11027,16.5,4033,6,3269,4.9,3164,4.7,2283,3.4,805,1.2
2010,Redwood City,77013,6459,8.4,4475,5.8,6212,8.1,3910,5.1,4602,6,10157,13.2,12822,16.6,11254,14.6,4859,6.3,3569,4.6,3874,5,2839,3.7,1981,2.6
2010,Rialto,99530,7684,7.7,8682,8.7,10079,10.1,11023,11.1,7483,7.5,12645,12.7,15574,15.6,11258,11.3,4311,4.3,4090,4.1,3942,4,2330,2.3,429,0.4
