Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2015,Alameda,"78,614","4,187",5.30%,"4,856",6.20%,"4,035",5.10%,"2,754",3.50%,"4,002",5.10%,"11,336",14.40%,"12,386",15.80%,"12,602",16.00%,"5,773",7.30%,"5,014",6.40%,"6,529",8.30%,"3,599",4.60%,"1,541",2.00%
2015,Alhambra,"85,572","3,829",4.50%,"3,999",4.70%,"3,335",3.90%,"3,942",4.60%,"5,419",6.30%,"15,204",17.80%,"11,826",13.80%,"12,134",14.20%,"7,603",8.90%,"5,149",6.00%,"7,685",9.00%,"3,237",3.80%,"2,210",2.60%
2015,Anaheim,"350,738","24,928",7.10%,"24,294",6.90%,"22,470",6.40%,"24,202",6.90%,"28,565",8.10%,"57,577",16.40%,"52,707",15.00%,"46,841",13.40%,"18,960",5.40%,"14,055",4.00%,"20,364",5.80%,"10,167",2.90%,"5,608",1.60%
2015,Antioc,"110,542","8,080",7.30%,"7,804",7.10%,"8,237",7.50%,"8,101",7.30%,"9,566",8.70%,"14,831",13.40%,"12,921",11.70%,"16,433",14.90%,"8,494",7.70%,"5,184",4.70%,"6,757",6.10%,"2,649",2.40%,"1,485",1.30%
2015,Apple Valley,"72,185","5,389",7.50%,"6,005",8.30%,"5,505",7.60%,"6,401",8.90%,"5,730",7.90%,"7,695",10.70%,"6,865",9.50%,"7,943",11.00%,"3,837",5.30%,"4,452",6.20%,"6,897",9.60%,"4,422",6.10%,"1,044",1.40%
2015,Arden-Arcade,"96,276","5,119",5.30%,"4,589",4.80%,"4,771",5.00%,"5,680",5.90%,"4,791",5.00%,"14,271",14.80%,"12,790",13.30%,"15,023",15.60%,"6,526",6.80%,"5,619",5.80%,"8,965",9.30%,"4,906",5.10%,"3,226",3.40%
2015,Bakersfield,"373,627","29,411",7.90%,"31,675",8.50%,"30,492",8.20%,"28,068",7.50%,"33,255",8.90%,"58,977",15.80%,"47,669",12.80%,"41,875",11.20%,"20,194",5.40%,"16,932",4.50%,"22,635",6.10%,"9,168",2.50%,"3,276",0.90%
2015,Baldwin Park,"77,056","4,652",6.00%,"5,862",7.60%,"5,974",7.80%,"5,272",6.80%,"5,095",6.60%,"10,741",13.90%,"9,841",12.80%,"11,277",14.60%,"4,664",6.10%,"3,685",4.80%,"6,940",9.00%,"2,120",2.80%,933,1.20%
2015,Bellflower,"78,434","6,131",7.80%,"5,717",7.30%,"5,580",7.10%,"7,734",9.90%,"6,601",8.40%,"8,944",11.40%,"11,453",14.60%,"8,511",10.90%,"5,162",6.60%,"3,545",4.50%,"5,203",6.60%,"2,818",3.60%,"1,035",1.30%
2015,Berkeley,"120,971","3,716",3.10%,"4,679",3.90%,"4,554",3.80%,"13,029",10.80%,"16,821",13.90%,"21,515",17.80%,"14,303",11.80%,"13,093",10.80%,"6,843",5.70%,"5,334",4.40%,"10,063",8.30%,"4,586",3.80%,"2,435",2.00%
