Year,City,Percent Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - High School Graduate (and equivalent),"Percent Population 25 years and over - Some college, no degree",Percent Population 25 years and over - Associate's degree,Percent Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 34 years,Percent 35 to 44 years,Percent 45 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied
2010,Alameda,5.5,4.5,17.0,19.9,5.8,31.0,16.3,73981.0,6.9,5.4,7.5,6.9,5.4,11.0,17.3,16.0,5.0,6.9,5.8,3.8,2.1,173.0,11.1,28011.0,605675.9,9.6,233.84382476581825,46.92085252222341,53.07914747777659
2010,Alhambra,10.1,7.4,21.7,19.6,8.9,21.7,10.5,83202.0,4.7,4.4,3.8,5.8,7.3,17.7,14.8,14.7,5.6,5.1,9.0,4.2,3.0,185.0,9.2,28100.0,441616.7,10.7,222.3504242686474,38.05338078291815,61.94661921708185
2010,Anaheim,15.5,10.7,24.3,18.8,6.7,18.0,6.0,337259.0,7.5,6.4,7.3,8.7,8.0,15.2,14.1,13.7,5.3,4.5,5.2,3.0,1.2,1161.0,14.4,100404.0,371899.4,12.4,344.2458170130374,48.38851041791163,51.61148958208837
2010,Antioch,7.7,7.3,26.9,31.7,8.8,13.6,4.1,102745.0,8.3,8.2,6.4,7.6,7.9,13.6,12.7,15.0,6.7,4.0,6.3,2.4,1.1,864.0,15.3,30970.0,181427.3,8.0,840.9168329359094,62.76719405876655,37.23280594123345
2010,Apple Valley,1.5,7.7,33.4,26.9,11.0,10.5,9.0,69387.0,6.3,6.9,10.2,7.3,6.6,10.6,11.4,14.2,6.3,5.2,6.3,6.4,2.2,188.0,12.3,23900.0,138720.2,10.4,270.94412498018363,70.69037656903767,29.309623430962343
2010,Bakersfield,10.0,10.6,24.8,26.6,7.7,13.3,7.0,348582.0,8.9,8.2,9.3,8.6,8.1,14.4,12.3,13.0,4.6,3.8,4.8,2.9,0.9,2104.0,13.3,109420.0,148911.4,14.9,603.5882518317068,59.185706452202524,40.814293547797476
2010,Baldwin Park,24.6,17.7,24.8,16.1,3.9,10.7,2.2,75496.0,7.8,9.4,9.9,7.9,5.2,15.8,14.6,11.0,5.6,4.1,5.4,2.4,0.8,253.0,13.9,17045.0,250178.4,15.6,335.1170922962806,60.176004693458495,39.82399530654151
2010,Bellflower,12.1,10.8,29.6,23.8,6.4,14.7,2.6,76717.0,7.1,6.6,7.6,8.6,6.7,13.1,15.8,14.3,5.7,4.0,5.9,3.6,1.0,415.0,10.0,25199.0,311087.3,15.8,540.9492029146082,40.20794475971269,59.79205524028731
2010,Berkeley,2.6,3.9,8.7,13.5,3.4,30.5,37.5,112824.0,4.0,4.3,2.9,11.4,17.1,16.8,9.7,10.0,5.6,6.0,7.4,3.4,1.2,533.0,7.3,44724.0,704889.7,8.3,472.41721619513584,39.65879617207763,60.341203827922364
2010,Buena Park,7.4,11.0,21.1,25.5,8.1,21.4,5.5,80766.0,7.3,6.4,7.5,7.4,8.3,14.0,12.8,16.2,5.4,4.5,5.0,3.9,1.4,241.0,8.6,23126.0,367803.6,9.0,298.3928880964762,54.194413214563696,45.805586785436304
2010,Burbank,7.6,5.9,17.7,23.4,8.7,25.8,10.9,103472.0,5.1,5.4,5.6,5.1,5.3,16.1,15.8,15.7,5.9,5.4,6.4,4.7,3.4,221.0,9.2,42231.0,497845.8,5.7,213.5843513220968,43.70012550022495,56.29987449977505
2010,Carson,10.9,9.8,21.5,23.2,9.8,19.3,5.6,91828.0,5.1,5.0,7.4,9.8,8.8,10.4,12.3,16.3,6.4,6.3,7.8,3.7,0.8,499.0,15.1,24875.0,299226.6,8.9,543.4072396219018,70.10251256281407,29.897487437185934
2010,Chico,4.9,6.0,16.3,30.4,10.9,19.5,12.1,86213.0,5.2,5.5,3.6,9.3,18.1,14.0,10.1,11.9,6.1,5.7,4.5,3.9,2.0,245.0,12.8,34128.0,254642.2,10.6,284.17988006449144,45.28832630098453,54.71167369901547
2010,Chino,10.9,11.5,20.6,25.2,7.9,16.9,7.1,78237.0,7.0,7.0,8.0,8.3,8.5,17.1,15.0,13.0,6.3,2.9,4.3,1.5,1.0,264.0,11.8,20148.0,309884.1,5.7,337.43625139000727,71.7788366090927,28.221163390907282
