Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to 12th (No Diploma),Percent Population 25 years and over - 9th to 12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2012,Alameda,2754,5.1,1268,2.3,6623,12.2,10795,19.9,5539,10.2,16670,30.8,10527,19.4
2012,Alhambra,6318,10.5,4891,8.2,13868,23.1,11071,18.5,4187,7.0,13345,22.2,6311,10.5
2012,Anaheim,32271,15.0,24945,11.6,51463,23.9,43350,20.2,12493,5.8,36046,16.8,14318,6.7
2012,Antioch,4196,6.3,4499,6.8,18580,28.0,16957,25.6,7043,10.6,11801,17.8,3270,4.9
2012,Apple Valley,2916,6.7,6536,15.0,13546,31.0,10394,23.8,4175,9.6,3046,7.0,3089,7.1
2012,Arden-Arcade,3345,5.4,4134,6.7,10842,17.5,16331,26.4,5510,8.9,12983,21.0,8750,14.1
2012,Bakersfield,25327,12.2,22178,10.7,47754,23.1,51993,25.1,17240,8.3,27350,13.2,15094,7.3
2012,Baldwin Park,11127,23.9,8227,17.7,12857,27.7,7370,15.9,1971,4.2,4086,8.8,844,1.8
2012,Bellflower,3323,7.0,5183,11.0,15868,33.5,12076,25.5,3663,7.7,5299,11.2,1901,4.0
2012,Berkeley,1418,2.0,1384,1.9,5380,7.5,10746,15.0,2546,3.6,23484,32.9,26459,37.0
2012,Buena Park,6586,12.2,5066,9.4,11886,21.9,10925,20.2,4075,7.5,11359,21.0,4266,7.9
2012,Burbank,4166,5.6,4315,5.9,12162,16.5,17233,23.4,6872,9.3,19627,26.6,9383,12.7
2012,Camarillo,1771,3.8,1496,3.2,7365,15.7,12862,27.3,4313,9.2,12855,27.3,6391,13.6
2012,Carlsbad,2005,2.5,1462,1.8,7980,10.0,16534,20.6,11786,14.7,23557,29.4,16795,21.0
2012,Carson,6072,9.9,5141,8.4,14790,24.1,15832,25.8,5791,9.4,10375,16.9,3438,5.6
2012,Chico,1924,3.9,3040,6.2,8160,16.7,14582,29.9,5840,12.0,10281,21.1,4993,10.2
2012,Chino,4260,7.8,6423,11.7,13263,24.2,13239,24.2,5985,10.9,9155,16.7,2405,4.4
2012,Chino Hills,1611,3.3,1552,3.2,8597,17.5,10458,21.2,4187,8.5,14675,29.8,8176,16.6
