Year,City,Total,Total Occupied,Renter Occupied
2010,Alameda,28011,13143,14868
2010,Alhambra,28100,10693,17407
2010,Anaheim,100404,48584,51820
2010,Antioch,30970,19439,11531
2010,Apple Valley,23900,16895,7005
2010,Arden-Arcade,39936,18480,21456
2010,Bakersfield,109420,64761,44659
2010,Baldwin Park,17045,10257,6788
2010,Bellflower,25199,10132,15067
2010,Berkeley,44724,17737,26987
2010,Buena Park,23126,12533,10593
2010,Burbank,42231,18455,23776
2010,Camarillo,,,
2010,Carlsbad,,,
2010,Carson,24875,17438,7437
2010,Chico,34128,15456,18672
2010,Chino,20148,14462,5686
2010,Chino Hills,21151,17977,3174
2010,Chula Vista,74991,44572,30419
2010,Citrus Heights,33165,18342,14823
2010,Clovis,32299,19503,12796
2010,Compton,24303,12809,11494
2010,Concord,44705,27126,17579
2010,Corona,43598,28526,15072
2010,Costa Mesa,39391,16914,22477
2010,Daly City,30351,15931,14420
2010,Davis,,,
2010,Downey,34108,16882,17226
2010,East Los Angeles,31027,11267,19760
2010,El Cajon,29599,10643,18956
2010,Elk Grove,49300,36558,12742
2010,El Monte,27780,10676,17104
2010,Escondido,43385,21011,22374
2010,Fairfield,34404,20600,13804
2010,Folsom,,,
2010,Fontana,49290,33889,15401
2010,Fremont,71078,46153,24925
2010,Fresno,152890,74995,77895
2010,Fullerton,42935,23196,19739
2010,Garden Grove,45622,26801,18821
2010,Glendale,68191,27020,41171
2010,Hawthorne,28889,7224,21665
2010,Hayward,43335,22919,20416
2010,Hemet,29954,18406,11548
2010,Hesperia,26411,17085,9326
2010,Huntington Beach,74874,44872,30002
2010,Indio,24519,16558,7961
2010,Inglewood,34712,12982,21730
2010,Irvine,76172,38163,38009
2010,Lake Forest,26602,18428,8174
2010,Lakewood,26485,19285,7200
2010,Lancaster,47466,28492,18974
2010,Livermore,,,
2010,Long Beach,158386,62682,95704
2010,Los Angeles,1310259,493028,817231
2010,Lynwood,15511,7251,8260
2010,Manteca,22451,12998,9453
2010,Menifee,,,
2010,Merced,23350,9944,13406
2010,Milpitas,19127,12068,7059
2010,Mission Viejo,33734,25914,7820
2010,Modesto,69452,38271,31181
2010,Moreno Valley,49040,30109,18931
2010,Mountain View,32019,13313,18706
2010,Murrieta,30651,21240,9411
2010,Napa,28681,16706,11975
2010,Newport Beach,,,
2010,Norwalk,27796,17584,10212
2010,Oakland,151808,61547,90261
2010,Oceanside,55896,32138,23758
2010,Ontario,42752,22765,19987
2010,Orange,41986,23419,18567
2010,Oxnard,49059,25641,23418
2010,Palmdale,40215,27761,12454
2010,Pasadena,50821,22874,27947
2010,Perris,15621,10281,5340
2010,Pittsburg,18231,10804,7427
2010,Pleasanton,23226,15797,7429
2010,Pomona,36638,18756,17882
2010,Rancho Cucamonga,54752,36141,18611
2010,Redding,33646,18396,15250
2010,Redlands,,,
2010,Redondo Beach,,,
2010,Redwood City,26963,14604,12359
2010,Rialto,23707,14906,8801
2010,Richmond,36033,17530,18503
2010,Riverside,87752,50025,37727
2010,Roseville,44079,29155,14924
2010,Sacramento,176168,86950,89218
2010,Salinas,40933,17741,23192
2010,San Bernardino,59604,30377,29227
2010,San Buenaventura (Ventura),40665,22894,17771
2010,San Diego,469635,224874,244761
2010,San Francisco,336012,123128,212884
2010,San Jose,297637,173280,124357
2010,San Leandro,29940,17651,12289
2010,San Marcos,26457,15212,11245
2010,San Mateo,39516,20921,18595
2010,San Ramon,,,
2010,Santa Ana,71288,33884,37404
2010,Santa Barbara,33220,14389,18831
2010,Santa Clara,41419,18435,22984
2010,Santa Clarita,60079,42327,17752
2010,Santa Maria,27948,14777,13171
2010,Santa Monica,44513,12399,32114
2010,Santa Rosa,61327,32585,28742
2010,Simi Valley,41770,29462,12308
2010,South Gate,23488,10884,12604
2010,Stockton,91200,47779,43421
2010,Sunnyvale,53388,25349,28039
2010,Temecula,31261,21602,9659
2010,Thousand Oaks,,,
2010,Torrance,53648,31599,22049
2010,Tracy,25809,16533,9276
2010,Turlock,23960,14438,9522
2010,Tustin,24057,12415,11642
2010,Union City,20822,13756,7066
2010,Upland,,,
2010,Vacaville,,,
2010,Vallejo,41042,23834,17208
2010,Victorville,31689,18941,12748
2010,Visalia,40709,25041,15668
2010,Vista,29982,15799,14183
2010,West Covina,31286,18826,12460
2010,Westminster,26838,14627,12211
2010,Whittier,27969,15020,12949
2010,Yorba Linda,,,
