"GEO_ID","NAME","B25014_001E","B25014_001M","B25014_002E","B25014_002M","B25014_003E","B25014_003M","B25014_004E","B25014_004M","B25014_005E","B25014_005M","B25014_006E","B25014_006M","B25014_007E","B25014_007M","B25014_008E","B25014_008M","B25014_009E","B25014_009M","B25014_010E","B25014_010M","B25014_011E","B25014_011M","B25014_012E","B25014_012M","B25014_013E","B25014_013M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Owner occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Owner occupied!!0.50 or less occupants per room","Estimate!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Owner occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Owner occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Owner occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Owner occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Owner occupied!!2.01 or more occupants per room","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied","Estimate!!Total!!Renter occupied!!0.50 or less occupants per room","Margin of Error!!Total!!Renter occupied!!0.50 or less occupants per room","Estimate!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Margin of Error!!Total!!Renter occupied!!0.51 to 1.00 occupants per room","Estimate!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Margin of Error!!Total!!Renter occupied!!1.01 to 1.50 occupants per room","Estimate!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Margin of Error!!Total!!Renter occupied!!1.51 to 2.00 occupants per room","Estimate!!Total!!Renter occupied!!2.01 or more occupants per room","Margin of Error!!Total!!Renter occupied!!2.01 or more occupants per room",
"1600000US0600562","Alameda city, California","28011","1368","13143","1413","9970","1278","3115","763","0","294","58","96","0","294","14868","1515","7607","1395","5989","1182","1139","569","133","127","0","294",
"1600000US0600884","Alhambra city, California","28100","2034","10693","1375","6201","1137","3692","879","560","269","182","151","58","97","17407","1691","8003","1371","7261","1331","1884","705","0","294","259","292",
"1600000US0602000","Anaheim city, California","100404","3112","48584","2753","27795","2276","16629","2065","3126","896","735","417","299","223","51820","2637","15902","1868","20600","2127","8641","1592","5906","1284","771","432",
"1600000US0602252","Antioch city, California","30970","2008","19439","2270","13417","1987","5481","1077","463","384","0","294","78","127","11531","1455","4567","1225","5458","1420","1446","720","60","101","0","294",
"1600000US0602364","Apple Valley town, California","23900","1442","16895","1408","12174","1654","4387","867","334","310","0","294","0","294","7005","1169","3749","1073","2693","907","563","399","0","294","0","294",
"1600000US0602553","Arden-Arcade CDP, California","39936","2173","18480","1401","15620","1342","2734","796","58","95","68","114","0","294","21456","1979","13858","1809","6020","1511","919","582","659","540","0","294",
"1600000US0603526","Bakersfield city, California","109420","3039","64761","3103","40330","2877","21539","2190","2423","762","413","371","56","95","44659","2648","21056","2238","18855","2033","2963","1087","1180","606","605","502",
"1600000US0603666","Baldwin Park city, California","17045","1462","10257","1204","3395","889","4628","1122","1652","531","347","290","235","249","6788","1313","1240","591","3841","1104","940","505","609","389","158","193",
"1600000US0604982","Bellflower city, California","25199","1505","10132","1385","5414","1136","4123","953","542","266","53","89","0","294","15067","1700","5205","1275","6232","1282","931","376","1257","751","1442","671",
"1600000US0606000","Berkeley city, California","44724","2597","17737","1678","14668","1566","2824","718","100","118","145","177","0","294","26987","2226","15622","1999","10224","1326","693","387","448","373","0","294",
"1600000US0608786","Buena Park city, California","23126","1410","12533","1208","6819","1307","4988","1025","582","305","144","185","0","294","10593","1318","4309","1154","4611","947","1260","596","370","324","43","71",
"1600000US0608954","Burbank city, California","42231","1949","18455","1839","12244","1828","5865","1144","232","191","114","136","0","294","23776","1713","11162","1517","11052","1426","976","539","284","322","302","349",
"1600000US0610046","Camarillo city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611194","Carlsbad city, California","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0611530","Carson city, California","24875","1671","17438","1665","9679","1656","5929","1009","1309","547","451","344","70","115","7437","1248","2371","832","3804","856","493","349","669","409","100","116",
"1600000US0613014","Chico city, California","34128","1671","15456","1245","11796","1374","3283","911","234","207","85","155","58","93","18672","1702","11532","1701","6555","1256","436","300","80","123","69","117",
"1600000US0613210","Chino city, California","20148","1278","14462","1443","8031","1487","5240","1045","962","507","229","186","0","294","5686","1319","2651","957","1946","748","904","537","185","228","0","294",
"1600000US0613214","Chino Hills city, California","21151","1204","17977","1182","10518","1499","6945","850","385","365","129","164","0","294","3174","679","1231","564","1709","552","234","214","0","294","0","294",
"1600000US0613392","Chula Vista city, California","74991","2582","44572","2384","26806","2537","16796","1892","523","299","400","374","47","77","30419","2240","12329","1987","13334","1823","3866","1204","762","516","128","207",
