Year,City,% All Families
2010,Alameda,9.6
2010,Alhambra,10.7
2010,Anaheim,12.4
2010,Antioch,8
2010,Apple Valley,10.4
2010,Arden-Arcade,15.2
2010,Bakersfield,14.9
2010,Baldwin Park,15.6
2010,Bellflower,15.8
2010,Berkeley,8.3
2010,Buena Park,9
2010,Burbank,5.7
2010,Camarillo,3.7
2010,Carlsbad,9.3
2010,Carson,8.9
2010,Chico,10.6
2010,Chino,5.7
2010,Chino Hills,2.4
2010,Chula Vista,6.8
2010,Citrus Heights,9.3
2010,Clovis,7.6
2010,Compton,19.8
2010,Concord,7.5
2010,Corona,8.1
2010,Costa Mesa,12.8
2010,Daly City,6.6
2010,Davis,6.7
2010,Downey,7.5
2010,East Los Angeles,20.5
2010,El Cajon,24.7
2010,Elk Grove,7.8
2010,El Monte,19.9
2010,Escondido,15.6
2010,Fairfield,9.5
2010,Folsom,2.8
2010,Fontana,14.4
2010,Fremont,4.7
2010,Fresno,24.4
2010,Fullerton,11.1
2010,Garden Grove,10.9
2010,Glendale,10.9
2010,Hawthorne,15.2
2010,Hayward,11.9
2010,Hemet,16.8
2010,Hesperia,15.2
2010,Huntington Beach,5
2010,Indio,23.3
2010,Inglewood,20.4
2010,Irvine,6.6
2010,Lake Forest,6.3
2010,Lakewood,8.3
2010,Lancaster,17.3
2010,Livermore,2.8
2010,Long Beach,15.1
2010,Los Angeles,17.6
2010,Lynwood,21.1
2010,Manteca,7
2010,Menifee,8.5
2010,Merced,19.7
2010,Milpitas,3.4
2010,Mission Viejo,2.8
2010,Modesto,17.1
2010,Moreno Valley,17.4
2010,Mountain View,2.1
2010,Murrieta,8.1
2010,Napa,12.8
2010,Newport Beach,6.2
2010,Norwalk,12.9
2010,Oakland,18
2010,Oceanside,10.4
2010,Ontario,13.8
2010,Orange,8
2010,Oxnard,13.4
2010,Palmdale,15.1
2010,Pasadena,6.6
2010,Perris,24.7
2010,Pittsburg,13.5
2010,Pleasanton,3.6
2010,Pomona,19.5
2010,Rancho Cucamonga,3.6
2010,Redding,16.4
2010,Redlands,7.2
2010,Redondo Beach,3.4
2010,Redwood City,4
2010,Rialto,17.1
2010,Richmond,15.8
2010,Riverside,12.3
