City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acampo,289951.9,267016.0,260897.3,306530.0,363352.3,405627.8,450817.9,493062.7,542123.8,568173.6
Acton,355516.6,335887.2,315524.2,360287.7,406704.5,432973.8,453210.8,487450.7,541173.4,569946.7
Adelanto,90051.3,88697.2,86120.7,107925.9,138655.1,151341.3,163054.6,185452.3,215121.7,229748.6
Agoura Hills,579185.2,547057.9,533376.5,615327.3,679261.9,695740.1,701358.5,756611.8,826808.6,831652.6
Agua Dulce,456420.5,423874.9,401228.1,444603.0,490273.9,516722.7,536170.9,578898.9,638783.7,673156.4
Aguanga,188521.3,187327.4,175301.9,203317.2,249312.1,280753.6,303526.2,325757.4,360918.5,372791.0
Ahwahnee,202876.6,195658.4,197154.3,222085.9,245092.1,260032.6,266713.7,278435.4,312462.9,322871.0
Alameda,605675.9,549432.6,521763.6,610970.8,696844.5,789464.7,878701.5,933786.9,1009807.5,987085.5
Alamo,1055856.0,1013162.0,1069971.0,1226443.9,1373122.1,1499333.6,1557717.6,1600004.1,1682794.5,1694733.1
Albany,544702.0,503125.7,494304.3,590511.9,672689.4,771841.5,845754.5,905247.1,997432.7,1012555.3
Alhambra,441616.7,419268.5,405232.1,453821.8,506728.2,524186.5,528523.5,573165.0,648832.2,674850.6
Aliso Viejo,422593.3,390351.7,373015.0,445569.7,504307.1,517858.0,536534.7,580292.9,624151.0,616431.9
Alondra Park,363927.4,337748.1,325681.9,370944.8,419742.6,448023.2,469190.7,525446.1,599632.7,628883.4
Alpine,428933.9,393002.9,393660.6,441558.6,490226.0,519505.1,557991.8,587300.7,627865.8,625686.9
Alta,241540.1,206645.8,189227.4,211950.7,235994.1,262604.8,287664.9,322016.8,342518.4,351979.0
Altadena,514442.4,486933.7,472093.8,540661.2,606969.9,638406.3,659092.8,722214.2,815543.6,849431.0
Alturas,89338.3,88879.4,82556.4,85231.9,90087.2,92870.1,96098.4,102318.8,109536.0,116452.6
Amador City,188763.0,179338.4,176359.0,190677.1,229101.1,264350.3,296305.0,328783.2,365884.4,382497.0
American Canyon,288183.5,270461.5,259105.3,313210.5,378294.5,420153.5,468004.5,505633.3,541379.0,554818.7
Anaheim,371899.4,352695.3,347316.4,405768.7,454124.9,479128.8,501650.3,548453.7,594969.0,602268.7
Anderson,156839.8,144931.0,140806.2,157260.2,177023.2,190556.6,201682.2,215048.3,228942.8,243939.2
Angels Camp,217388.4,208114.2,210394.7,229102.7,252310.5,263555.8,288973.3,316955.4,339362.2,352639.6
Angelus Oaks,140548.8,121983.4,106816.4,127950.9,152758.2,157741.2,163324.1,192031.5,222959.0,228727.8
Angwin,500305.4,481369.5,467620.7,555302.8,606778.5,656103.9,741135.3,795445.3,817188.1,826529.2
Antioch,181427.3,176649.7,183599.2,239581.8,298021.5,323531.8,359296.2,399189.3,443490.1,457360.6
Anza,150578.3,134216.4,123950.4,135463.1,166321.4,193345.2,213843.4,236056.5,280746.3,292520.2
Apple Valley,138720.2,131689.3,126676.1,150496.5,179401.9,194588.4,208154.5,233045.2,262956.5,268523.4
Applegate,281220.6,247402.5,240269.5,284963.1,317920.7,350328.4,377479.7,405939.9,431845.3,446327.4
Aptos,631552.1,577894.5,572606.1,642455.4,711065.5,778026.8,849788.6,895748.4,957458.3,957620.5
Arbuckle,158644.0,152222.3,149037.8,165418.7,190362.5,208981.5,232880.3,256582.1,282330.7,301394.7
Arcadia,740442.6,710332.5,711913.7,821591.1,972452.3,1019007.3,964556.6,1016709.9,1100215.1,1073913.5
Arcata,367523.2,357480.4,326586.4,326948.7,338184.7,352364.0,382513.0,415223.1,432900.7,449344.8
Arden-Arcade,223160.8,197178.6,189808.5,232618.8,270269.0,290351.8,313864.9,337801.2,362333.8,377044.0
Armona,130553.5,112310.5,100837.6,103472.1,113853.1,123190.7,133382.8,144263.5,159508.7,171194.2
Arnold,223300.8,214059.0,203339.5,212310.8,238610.6,245635.8,259449.1,275316.8,295776.4,309546.5
Aromas,425136.4,385702.4,369387.6,437450.1,521580.3,573998.8,639645.1,686678.7,730828.2,750318.2
Arroyo Grande,474261.7,430874.6,438034.6,506046.0,556878.0,590922.3,621814.8,679372.2,706784.4,713059.4
Artesia,332934.5,317578.7,307099.5,346926.5,389500.1,417929.5,435651.3,480182.5,535735.3,556320.8
Arvin,99695.8,88471.9,88420.2,105441.8,125304.2,137320.0,149556.3,158978.1,172462.8,183034.9
Atascadero,319336.6,300730.2,308011.6,356506.7,393101.2,417108.0,446410.6,492170.7,522232.6,528549.5
Atherton,3045792.9,2958626.7,3289117.8,3938344.2,4479013.5,5184098.9,5585178.3,5704451.1,6180327.7,5996300.9
Atwater,126619.3,125461.2,123722.0,145756.6,176035.5,194339.7,212494.9,234508.4,257576.8,276600.7
Auberry,216426.9,189643.7,184803.1,199092.8,219053.6,234166.7,249475.1,258521.2,275145.8,279308.7
Auburn,295016.6,265788.1,260753.8,303690.9,342785.4,368616.8,397762.2,428099.8,460261.7,476518.2
August,61030.2,57469.1,55293.8,71668.0,91698.4,108751.1,130534.5,154030.4,184056.9,207825.5
Avalon,560859.3,509406.7,493235.2,546047.6,586588.5,610484.6,615114.9,641250.4,699006.7,735611.1
Avenal,119938.5,101251.8,92767.5,94911.6,101618.1,108683.1,118350.6,129342.1,140254.1,150326.5
Avila Beach,624383.8,582346.1,614835.4,705783.7,788275.6,858459.9,894216.2,976035.8,1032741.1,1021709.0
Avocado Heights,316807.7,299754.1,286122.0,326475.0,374239.7,393216.1,410976.5,458778.3,517371.0,540952.6
Azusa,272108.3,259742.3,249901.5,294768.1,345200.3,368209.1,384465.6,422781.7,463109.2,476675.7
Bakersfield,148911.4,139110.8,144340.1,174651.8,202555.8,214306.0,221013.5,226356.7,237883.9,249617.0
Baldwin Park,250178.4,241534.9,232860.6,272460.6,321807.0,343992.4,360075.4,396275.5,452386.0,473845.7
Ballico,338054.1,305773.1,275229.3,305014.0,365426.0,429130.6,460028.3,504335.2,554804.7,576443.7
Bangor,218265.6,191520.6,174734.2,187708.5,213246.8,237465.0,253662.4,279082.4,307105.2,328043.0
Banning,123141.1,118257.7,114079.7,138297.6,170808.3,194086.8,211035.1,229196.6,259405.9,271038.1
Barstow,91926.5,75524.2,73336.4,79345.9,90149.7,96058.5,105254.7,120765.7,145026.3,151760.1
Bass Lake,362722.8,343924.9,345238.5,358422.2,374518.9,399363.3,393795.4,402944.9,464076.0,459841.0
Bayside,492496.2,492356.8,454120.4,452044.4,467866.3,490580.1,519143.2,557431.4,591214.2,626835.1
Beaumont,195257.6,181678.4,177981.2,209901.2,252231.4,271336.9,290677.3,309211.9,333887.1,346216.0
Bell,230157.8,218060.8,216652.0,248981.4,289034.7,317445.0,335218.0,373280.7,419224.4,446463.8
Bell Canyon,1070989.8,1061363.9,1025926.8,1123046.4,1234083.5,1283597.7,1379835.1,1440509.7,1518502.0,1531084.1
Bell Gardens,218136.7,204613.0,203504.9,239408.5,280945.9,307965.0,327030.5,368477.4,416603.1,443746.4
Bellflower,311087.3,296074.0,286233.8,324367.5,367450.0,391641.0,411200.7,454715.7,510548.0,531315.0
Belmont,787271.2,756378.8,802006.6,979581.5,1157038.6,1354666.7,1502329.7,1579205.2,1804469.0,1755274.4
Belvedere,2225396.9,2119338.1,2270762.7,2569888.7,2835574.0,3174856.7,3409431.8,3503409.2,3621660.4,3551630.9
Ben Lomond,429829.9,392171.9,393762.6,456885.1,517823.4,585537.9,649601.5,699425.4,758020.5,754580.8
Benicia,372470.2,332032.9,317270.4,395674.3,463332.6,504148.4,548310.6,583843.2,627226.3,629702.5
Berkeley,704889.7,653891.7,635704.5,735971.9,840724.0,970035.7,1066629.9,1136441.3,1241931.5,1235161.3
Berry Creek,173812.8,158073.1,139732.2,149152.9,165870.3,186811.5,206721.9,219970.5,244356.5,264500.1
Bethel Island,250860.5,258051.7,267690.5,316807.8,367405.9,400287.9,439136.6,478646.0,523230.0,530698.9
Beverly Hills,1517350.2,1500041.2,1497414.8,1698361.8,1952476.8,2058206.3,1995376.4,2243686.3,2800363.5,3168692.3
Bieber,72609.1,71219.9,74970.9,79936.1,82677.9,91637.8,103158.4,113981.3,130190.2,137469.2
Big Bear City,178603.1,156486.7,138016.0,150623.2,172730.5,184415.7,194305.2,214555.2,250836.0,256379.3
Big Bear Lake,289449.4,259119.7,237545.5,258867.0,289266.3,299855.4,306789.9,334083.7,374893.1,372790.7
Big Sur,1122953.0,1054227.7,1184343.1,1387812.5,1457369.8,1507615.6,1729813.4,1795623.4,1918302.4,1935766.9
Biggs,160200.0,144748.9,119471.8,129401.0,147625.4,160455.1,177191.0,195415.2,218751.8,248517.9
Bloomington,137193.2,135379.6,136122.0,167528.9,210292.3,233315.8,250067.8,283293.9,327046.8,345200.8
Blythe,117978.2,95935.2,88618.6,97076.8,106542.3,115310.1,126286.7,137227.8,152010.9,156095.1
Bodega Bay,649894.4,595977.5,613287.1,694819.2,751532.7,815170.4,868092.0,881760.2,944900.3,948100.4
Bodfish,67867.8,63012.5,68664.8,80810.7,91314.8,96182.8,102352.0,108758.9,118359.6,126434.8
Bonita,403760.0,392770.9,402120.2,467549.9,517483.8,561282.9,595948.9,629235.8,657261.6,668338.0
Bonsall,428477.6,403987.0,402527.5,454694.5,515846.1,555694.9,589404.3,630427.4,666055.4,667334.0
Boron,42910.7,33439.0,30417.5,38065.2,44530.8,50409.2,54022.2,62056.0,78530.7,91634.1
Borrego Springs,188190.9,154870.1,153582.7,169954.4,193664.5,204392.3,217615.9,229774.9,236870.2,235247.2
Boulder Creek,337276.3,302111.5,302978.6,361518.9,421190.2,483627.9,548916.7,592106.5,632684.6,628402.6
Boulevard,171101.4,150726.0,145653.5,165787.4,195538.9,216387.9,244780.3,275254.3,305676.6,312839.3
Bradbury,1156782.8,1121952.8,1112728.9,1352093.1,1621868.6,1696000.7,1584625.5,1686415.0,1921922.9,1895581.5
Bradley,340386.3,315749.4,313441.3,356607.2,382259.7,393833.5,408042.9,437750.0,459271.4,454788.6
Brawley,134236.2,127610.9,134931.7,139055.9,160537.7,176327.6,190832.5,202705.7,210815.9,223508.8
Brea,493883.3,462364.6,455726.6,521559.0,585087.1,609151.9,630914.1,685842.4,728888.2,728895.9
Brentwood,280746.2,269089.9,301300.3,375466.7,442495.5,482498.1,524232.4,556428.6,594543.3,610602.0
Bridgeport,168463.8,158508.6,166799.2,197088.7,229559.2,230228.5,250843.8,272550.4,291771.4,309405.0
Brisbane,537997.0,497008.5,502214.6,608411.0,694198.1,797284.3,884498.8,928120.2,1034696.9,1049394.7
Browns Valley,256614.1,244883.8,243995.7,272869.0,308554.2,335840.5,360658.5,387219.5,427549.9,441533.5
Brownsville,149230.7,143940.5,141354.5,152122.7,174555.0,193091.9,218003.1,238446.1,251638.2,260674.4
Buellton,421187.1,402976.3,360537.6,412309.6,466615.2,508342.1,544115.9,565445.5,579200.6,584835.7
Buena Park,367803.6,348050.8,340465.1,397807.2,442684.3,466459.6,490226.8,544462.2,592230.4,599352.6
Burbank,497845.8,466592.1,450109.5,514505.3,576023.5,609494.5,631402.3,693183.0,791802.5,823094.6
Burlingame,1016775.0,957219.7,1045774.4,1288680.0,1514733.3,1726637.6,1865573.8,1955717.4,2195334.7,2163914.7
Buttonwillow,75330.6,66053.5,58030.1,64267.3,80481.4,99043.9,107610.4,115105.1,126236.3,140288.4
Cabazon,67942.4,61100.1,61460.5,74670.5,99400.1,121076.5,134548.5,145646.2,170385.1,182894.4
Calabasas,804887.3,759816.6,745363.5,837879.2,928797.5,943837.3,945974.6,1017396.0,1133925.6,1164716.5
Calexico,130261.4,123103.6,128605.6,144326.5,164824.4,182660.6,201308.6,214212.3,225337.3,240416.4
Caliente,140927.8,129023.3,130335.8,146384.9,164160.1,175385.3,187716.9,191180.9,208803.0,211105.7
California City,70302.9,63799.7,59864.8,66865.7,82373.2,91974.5,104422.0,121435.7,145718.1,161965.6
Calimesa,187154.9,176972.2,177770.2,211657.5,255393.3,280979.2,303623.7,326253.2,358551.3,367603.5
Calipatria,86311.8,81371.7,85098.6,89557.9,102925.6,118720.7,134331.5,143481.5,157247.6,171119.4
Calistoga,561651.8,539212.6,516750.1,604026.4,663408.9,730054.9,792658.0,859619.7,920804.6,949915.7
Calpine,153050.1,155937.3,156266.8,160894.9,172239.3,181806.3,200688.7,223504.3,244975.9,258138.7
Camarillo,466651.0,445528.9,418423.0,473296.6,527934.6,552662.7,582479.1,611130.1,640100.9,645812.1
Cambria,472298.2,432502.4,442333.0,498553.8,541284.5,563694.0,578695.3,631255.7,667972.6,678392.1
Camino,256755.1,235582.3,222810.2,253089.4,284564.0,309798.2,336488.5,365226.7,388214.3,397603.3
Campbell,571489.5,537361.6,573385.8,706459.2,807943.9,949922.0,1008806.8,1039458.5,1298785.0,1280523.0
Campo,160534.2,145421.0,145719.5,163292.3,191809.3,220956.7,253478.3,285797.7,314003.3,323525.3
Camptonville,158115.1,154836.0,159742.1,176570.4,197214.1,222387.7,245536.5,255467.8,268977.7,275457.1
Canyon Lake,257618.6,251892.4,251816.5,296895.9,351951.0,372812.7,384356.5,402850.9,441630.6,454519.0
Capitola,508735.3,473276.2,478767.4,535174.6,597830.9,678073.5,736311.9,782371.4,851824.6,851472.1
Carlotta,363646.1,350235.5,313192.7,305982.0,321106.3,333672.8,374131.2,429523.0,459920.4,466312.2
Carlsbad,796814.4,755790.9,744668.0,778791.2,788419.3,752751.5,760751.4,807596.6,849708.0,864841.1
Carmel Valley,666323.3,614976.2,606194.2,685088.1,752453.9,809605.5,880326.3,919066.7,967143.9,1011528.6
Carmel-by-the-Sea,1009748.6,943602.3,918349.3,1015728.6,1113361.6,1178996.6,1262199.7,1319921.0,1393799.9,1427953.6
Carmichael,254739.5,226439.8,219849.7,268809.4,303772.5,321789.4,342252.3,366516.6,391856.9,406242.5
