Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2014,Alameda,6.3,7.8,2.9,7.3,1.0,25.1,8.2,11.5,0.7,4.9,6.2,25.0,-,4.9,5.6,21.5,0.0,23.3,11.2,1.4,0.0
2014,Alhambra,13.6,18.1,10.4,10.4,10.5,28.1,17.8,8.3,8.3,10.0,18.1,20.0,0.0,14.4,15.1,6.9,7.7,41.4,20.7,2.4,4.5
2014,Anaheim,12.3,18.0,8.2,10.5,11.0,28.5,11.8,10.1,3.4,5.4,14.0,28.6,64.4,9.4,12.1,14.9,24.2,36.3,20.4,5.3,3.4
2014,Antioch,12.5,22.3,13.8,2.3,1.4,22.5,14.9,10.9,8.1,1.6,21.6,17.5,70.4,3.7,18.3,14.1,18.8,11.7,22.5,6.7,1.1
2014,Apple Valley,10.5,18.2,8.0,5.4,8.1,19.4,18.6,10.2,0.0,4.2,18.0,20.7,12.6,6.6,13.2,16.3,9.8,20.1,11.3,2.4,9.2
2014,Arden-Arcade,16.8,24.8,13.6,4.4,8.7,39.3,18.9,24.4,6.2,9.1,20.1,43.2,55.4,15.0,13.3,38.7,36.2,24.4,25.4,6.1,0.0
2014,Bakersfield,16.5,22.4,11.7,10.7,13.7,33.5,17.7,16.5,3.6,7.5,16.8,35.4,41.1,11.0,17.0,24.1,25.0,38.8,22.7,7.2,2.8
2014,Baldwin Park,14.3,18.5,9.6,14.1,14.7,24.2,9.2,14.5,8.0,9.5,16.2,27.1,0.0,15.2,11.9,25.1,0.0,50.1,23.9,3.3,0.9
2014,Bellflower,10.8,14.4,7.1,6.1,9.3,28.9,6.2,5.8,1.9,5.9,13.1,18.7,-,9.2,7.7,20.2,18.1,37.6,17.0,2.8,1.6
2014,Berkeley,7.7,10.2,5.0,3.7,5.7,49.7,7.9,19.8,2.5,5.7,10.1,0.0,100.0,7.1,7.2,12.1,60.7,26.6,7.6,3.7,5.6
2014,Buena Park,12.3,15.1,10.7,16.1,9.6,18.9,17.6,10.6,8.2,9.5,14.5,16.7,-,17.8,10.3,9.9,11.4,24.1,22.9,8.3,0.0
2014,Burbank,6.3,8.8,6.5,2.6,4.4,0.0,10.5,6.8,5.8,4.1,8.2,13.1,-,4.2,6.5,11.8,32.2,5.2,8.2,5.0,6.4
2014,Camarillo,3.0,3.0,2.8,2.3,1.9,19.3,2.5,3.6,0.9,3.0,1.3,7.7,-,3.0,1.8,6.2,0.0,6.1,4.9,1.5,0.0
2014,Carlsbad,3.4,5.6,0.9,0.0,0.0,0.0,4.1,11.4,0.6,N,N,N,N,4.0,3.4,0.0,0.0,23.4,1.6,0.9,0.0
2014,Carmichael,11.6,22.9,11.8,2.2,2.8,18.8,27.1,12.5,3.7,3.9,22.6,23.2,33.1,10.5,12.2,14.0,33.1,12.5,23.4,1.6,0.0
2014,Carson,11.2,16.2,5.7,9.8,9.7,33.1,14.4,4.9,1.3,6.1,9.2,41.2,52.8,8.0,7.7,17.2,32.1,28.7,15.4,8.4,1.5
2014,Chico,10.4,19.3,7.9,0.1,3.2,30.3,32.7,8.7,2.7,1.7,18.5,16.6,100.0,5.8,15.3,13.7,100.0,17.5,18.8,1.1,0.0
2014,Chino,7.1,10.9,5.4,2.0,3.2,21.5,7.4,4.5,3.0,1.9,10.4,9.1,70.7,2.2,8.0,12.1,8.4,22.3,9.8,6.0,0.0
2014,Chino Hills,7.7,9.2,4.0,3.2,4.1,25.9,17.4,5.7,4.7,6.0,5.3,34.4,-,6.1,8.2,2.8,28.9,30.0,14.2,4.6,0.0
2014,Chula Vista,10.5,15.3,9.2,5.3,5.1,22.1,17.8,6.9,4.9,4.2,13.7,22.1,-,6.4,13.0,10.7,0.0,23.7,18.5,3.3,2.0
2014,Citrus Heights,11.5,18.2,11.9,0.9,2.9,41.2,11.8,9.4,4.1,5.4,16.9,22.1,100.0,10.9,12.7,6.6,58.0,13.1,16.7,7.4,0.0
2014,Clovis,12.0,18.6,6.8,3.9,8.7,36.1,10.4,15.4,1.1,3.2,16.3,24.8,21.2,10.5,7.9,23.3,37.6,39.7,13.1,3.9,4.1
2014,Compton,20.3,25.2,14.0,20.8,16.1,21.8,24.4,17.3,11.5,12.7,22.6,28.1,59.0,19.6,18.1,21.6,30.5,62.8,20.8,10.2,11.4
2014,Concord,10.4,15.9,6.3,5.4,7.6,14.6,17.7,10.5,5.5,5.2,14.9,20.5,-,7.1,11.6,18.4,0.0,29.0,14.8,5.8,0.0
2014,Corona,8.6,13.9,5.2,7.3,5.5,15.6,15.8,7.7,2.3,2.4,11.0,24.2,48.4,3.6,10.9,11.2,15.6,28.8,12.4,2.7,0.5
2014,Costa Mesa,11.2,16.6,9.4,7.9,10.5,21.3,31.3,4.5,4.9,5.9,8.6,42.5,46.3,7.8,12.3,16.2,18.5,30.2,16.0,6.9,3.5
2014,Daly City,8.5,11.2,5.5,3.3,3.2,33.7,0.0,7.8,3.5,6.1,4.6,36.1,100.0,8.1,6.2,10.3,27.7,18.5,18.6,3.8,1.8
2014,Davis,5.5,6.5,4.3,0.0,N,0.0,21.7,9.7,3.6,4.6,7.5,0.0,-,4.6,5.4,11.9,0.0,8.9,9.0,3.3,0.0
2014,Downey,11.0,17.0,8.5,9.3,6.6,19.1,13.0,8.8,6.8,5.0,14.4,26.5,100.0,8.8,10.7,13.0,31.3,34.8,13.1,6.9,3.1
2014,East Los Angeles,24.8,33.2,20.9,14.9,16.5,33.0,20.7,12.2,3.8,14.4,26.8,49.1,60.3,24.5,26.9,24.5,7.7,50.9,39.6,12.6,1.5
2014,El Cajon,20.4,27.3,14.2,11.7,8.2,39.9,20.5,18.1,5.4,10.9,25.2,35.8,0.0,16.3,21.3,27.2,23.2,48.7,23.8,8.2,12.8
2014,Elk Grove,8.8,12.5,4.8,4.6,4.4,31.1,14.9,9.5,3.1,4.2,12.0,13.2,20.7,8.1,9.3,9.0,8.3,23.0,14.1,2.7,5.8
2014,El Monte,17.8,27.8,13.1,10.2,10.7,26.1,16.6,9.6,2.6,7.5,19.7,44.7,41.7,13.5,14.5,23.7,35.1,44.3,26.3,7.8,3.3
2014,Escondido,15.8,23.2,13.0,5.4,9.3,27.6,20.6,11.5,6.4,5.9,17.2,35.8,72.1,11.0,14.3,26.2,27.0,36.0,22.0,5.0,11.5
2014,Fairfield,9.4,12.0,6.2,0.0,5.2,27.3,6.6,8.9,0.6,5.9,10.8,17.7,0.0,10.0,9.8,9.0,0.0,31.2,10.3,4.4,0.0
2014,Folsom,2.2,0.8,0.9,9.1,1.0,0.0,12.7,1.6,1.1,N,N,N,N,1.0,4.0,0.0,0.0,7.3,2.6,0.9,0.0
2014,Fontana,16.7,19.9,10.9,10.9,11.5,28.3,20.4,9.8,6.0,11.3,16.8,26.5,36.6,24.6,11.6,20.6,8.6,48.8,30.1,6.1,1.0
2014,Fremont,4.1,3.8,2.6,2.8,2.1,23.6,11.7,3.1,1.4,4.5,3.1,10.9,0.0,4.3,3.8,4.9,4.6,21.1,4.0,2.1,0.0
2014,Fresno,24.1,33.3,17.1,11.3,15.0,46.3,28.0,19.4,6.3,10.9,26.2,45.7,81.7,14.9,23.6,36.4,51.3,54.2,30.1,10.0,1.9
