Year,City,% All Families,% With related children of householder under 18 years,% Householder worked,% Householder 65 years and over,% less than high school graduate,% High school graduate,"% Some college, associate degree",% Bachelor's degree or higher,% No related children under 18,% 1-2 related children under 18 ,% 3-4 related children under 18,% 5 or more related children under 18,% Family size 2,% Family size 3-4,% Family size 5-6,% Family size more than 7,% No workers in Family,% 1 workers in Family,% 2 workers in Family,% 3 or more workers in Family
2019,Alameda,6.6,10.1,3.1,4.2,34.1,3.5,15.6,1.6,3.4,9.5,15.4,-,7.7,5.3,5.9,21.9,26.6,8.9,0.5,2.8
2019,Alhambra,4.2,5.7,1.0,5.1,1.7,8.7,4.8,2.0,3.2,4.2,26.6,0.0,5.0,0.9,14.2,0.0,13.0,8.8,0.5,1.3
2019,Anaheim,9.0,14.9,5.4,7.7,19.8,15.1,3.3,2.4,3.8,11.7,23.9,48.0,6.8,8.4,12.8,16.1,29.9,17.6,3.3,1.2
2019,Antioch,13.0,21.3,10.8,14.2,29.9,3.5,13.6,6.8,6.2,14.4,35.0,100.0,11.1,9.3,30.1,3.8,32.3,19.2,7.2,0.0
2019,Apple Valley,7.9,16.4,5.9,6.3,13.3,18.5,4.2,0.0,1.7,16.4,18.7,0.0,2.5,10.8,15.0,0.0,11.0,14.4,0.0,0.0
2019,Arden-Arcade,14.0,21.9,13.6,0.9,38.3,23.8,14.4,3.4,6.8,16.2,32.7,71.8,6.4,23.2,9.9,26.6,18.6,22.1,5.0,6.0
2019,Bakersfield,11.2,15.5,8.0,5.5,25.9,11.8,9.0,3.1,6.0,11.5,25.3,27.8,8.4,11.4,15.0,18.4,31.8,16.0,3.8,0.0
2019,Baldwin Park,9.5,12.8,6.4,8.4,8.6,14.1,8.9,2.7,6.5,11.2,14.6,35.7,17.6,3.6,10.4,9.2,38.3,10.8,5.6,1.9
2019,Bellflower,7.4,11.8,5.0,6.7,15.5,4.0,3.8,7.5,3.1,9.4,22.0,-,6.2,7.0,13.4,0.0,10.6,17.6,3.7,0.0
2019,Berkeley,1.2,0.3,0.8,0.4,12.5,0.0,2.4,0.6,N,N,N,N,1.9,0.3,0.0,0.0,3.9,1.8,0.4,0.0
2019,Buena Park,4.5,6.8,3.3,0.0,6.5,3.7,2.1,5.9,3.3,6.9,6.0,0.0,4.1,4.9,5.4,0.0,3.1,10.6,0.0,2.5
2019,Burbank,4.3,6.6,2.4,2.5,4.7,12.3,4.6,2.7,2.5,7.3,0.0,-,5.2,2.7,8.7,0.0,13.5,5.8,2.0,0.0
2019,Camarillo,3.1,3.2,0.2,4.4,0.0,5.9,5.9,0.8,N,N,N,N,2.3,3.0,8.2,0.0,7.7,5.7,0.0,0.0
2019,Carlsbad,2.9,5.2,1.5,2.3,0.0,8.0,4.6,2.0,1.0,4.8,9.1,-,2.8,2.5,6.5,-,6.5,6.5,0.0,0.0
2019,Carmichael,5.1,7.7,3.6,1.9,8.8,9.6,3.9,4.0,2.7,6.8,22.1,0.0,4.8,5.4,6.1,0.0,0.0,11.7,1.7,0.0
2019,Carson,4.6,7.8,2.5,5.6,11.0,4.2,4.2,2.0,2.6,2.7,36.4,-,5.2,0.7,10.9,0.0,16.0,11.3,0.8,0.0
2019,Chico,10.5,15.7,7.8,6.1,44.5,17.3,11.5,0.8,5.2,18.0,3.0,100.0,12.9,8.6,6.8,15.2,21.0,22.7,0.1,1.5
2019,Chino,4.6,5.0,2.3,12.4,14.6,2.3,4.9,0.9,4.3,5.1,4.4,-,5.8,5.3,0.0,0.0,24.5,5.4,0.6,0.0
2019,Chino Hills,2.6,2.9,1.5,1.0,28.8,0.0,4.0,1.5,N,N,N,N,4.4,1.4,1.7,0.0,2.2,6.9,0.4,0.0
2019,Chula Vista,7.4,9.1,3.9,4.7,21.1,6.7,5.5,3.2,5.7,9.0,10.1,0.0,5.1,10.6,3.7,1.9,30.7,10.5,1.3,0.0
2019,Citrus Heights,6.0,10.8,3.9,3.9,11.3,9.2,5.2,3.0,2.5,9.7,17.2,100.0,3.3,8.5,12.6,0.0,13.0,7.8,3.2,0.0
2019,Clovis,5.8,7.4,3.4,0.9,14.5,11.6,6.7,1.8,3.6,6.3,11.8,-,4.0,6.6,8.7,0.0,23.8,7.0,1.8,0.0
2019,Compton,10.1,12.2,6.9,10.0,15.4,13.1,2.3,1.6,7.5,8.4,19.1,20.5,3.9,12.2,12.1,10.8,30.6,16.6,3.0,2.1
2019,Concord,7.3,12.0,5.5,0.0,35.8,7.3,2.2,4.9,3.3,11.5,16.4,0.0,8.5,6.7,7.9,0.0,13.2,21.5,0.4,0.0
2019,Corona,7.5,12.0,5.9,8.6,13.2,14.2,5.4,2.8,3.0,12.1,12.1,0.0,7.7,7.5,8.4,0.0,29.3,11.2,2.8,3.3
2019,Costa Mesa,6.0,7.5,4.7,0.0,10.6,13.6,0.7,5.8,4.2,5.6,17.0,-,2.5,7.1,10.5,0.0,19.7,9.9,3.4,0.0
2019,Daly City,2.4,2.4,1.9,1.6,0.0,0.6,5.0,1.9,N,N,N,N,2.1,3.4,0.0,0.0,8.7,3.8,1.0,0.0
2019,Davis,6.3,6.9,1.8,7.3,42.5,10.8,21.1,0.5,N,N,N,N,6.8,6.4,0.0,0.0,23.4,6.7,0.8,0.0
2019,Downey,7.1,10.3,3.9,9.0,18.2,7.1,4.6,3.7,3.8,10.6,9.1,-,6.7,6.8,8.1,7.4,30.0,12.1,1.8,0.9
2019,East Los Angeles,14.3,22.3,10.5,10.9,17.6,13.7,11.3,0.0,5.1,19.3,27.6,45.8,6.6,14.1,22.6,16.7,40.2,23.5,7.4,0.7
2019,El Cajon,11.8,16.1,8.2,8.5,14.6,14.3,12.9,6.9,6.8,11.1,46.4,57.4,7.0,8.6,33.8,24.9,46.4,6.7,8.7,5.8
2019,Elk Grove,5.4,6.9,3.5,4.4,20.8,6.1,5.8,1.9,3.9,6.1,12.2,0.0,6.2,3.2,8.3,22.8,8.9,12.0,2.3,0.0
2019,El Monte,12.7,20.4,11.5,7.2,14.5,10.9,8.3,17.9,6.7,13.7,40.2,100.0,10.4,10.8,20.2,9.9,33.5,17.1,8.4,1.8
2019,Escondido,13.4,22.4,9.6,7.6,30.3,28.5,6.5,1.1,5.7,19.3,33.0,41.3,8.8,14.7,22.5,0.0,37.8,21.2,2.3,0.0
2019,Fairfield,7.3,9.9,6.6,2.3,16.8,5.4,7.9,5.5,4.7,9.2,11.9,72.5,6.3,9.3,4.7,4.0,18.2,12.7,2.3,0.0
2019,Florence-Graham,18.1,23.1,15.8,16.3,23.3,14.2,5.6,6.9,9.2,20.1,31.9,22.4,22.5,15.4,21.7,15.8,39.9,35.5,10.5,4.2
2019,Folsom,3.2,3.0,1.8,5.7,N,N,N,N,3.4,3.5,0.0,0.0,6.3,1.4,0.0,0.0,16.8,5.2,1.1,0.0
2019,Fontana,9.4,11.1,5.1,10.2,17.5,7.6,11.2,2.0,7.3,8.4,16.3,68.3,10.2,7.4,8.7,26.8,45.0,9.7,3.4,3.4
2019,Fremont,1.8,2.1,0.8,2.4,0.0,4.7,1.3,1.5,1.6,1.4,7.7,0.0,2.8,1.3,1.7,0.0,12.2,1.0,1.1,0.0
2019,Fresno,19.1,27.4,13.1,10.5,34.2,22.9,15.9,5.6,7.8,21.7,39.3,53.1,15.0,18.8,24.2,34.2,50.1,26.1,4.6,2.2
2019,Fullerton,5.7,9.8,5.0,3.3,11.7,18.5,4.8,1.7,2.3,8.2,25.3,0.0,7.0,2.0,12.3,16.6,14.7,9.8,1.9,1.8
2019,Garden Grove,8.8,11.2,4.6,11.8,15.2,9.4,7.6,3.9,6.6,8.3,24.8,0.0,12.9,7.0,7.4,6.9,34.4,12.4,2.3,1.1
2019,Glendale,9.2,14.1,6.0,5.5,8.5,18.5,10.2,3.7,5.5,10.7,45.9,0.0,6.6,10.8,13.6,0.0,23.6,15.8,2.0,1.8
2019,Hawthorne,14.3,21.1,11.4,2.5,22.1,19.7,13.1,4.1,4.7,16.7,26.3,100.0,15.2,13.1,4.5,60.3,29.9,29.5,2.1,0.0
2019,Hayward,5.2,7.9,2.6,2.0,8.7,8.6,3.4,2.2,2.5,7.7,5.7,43.6,6.4,3.7,6.5,8.3,28.1,6.1,1.3,0.6
2019,Hemet,15.4,24.8,12.3,10.6,39.7,10.5,9.3,14.2,7.5,22.8,37.2,0.0,10.7,18.3,26.4,0.0,23.8,13.8,9.2,0.0
2019,Hesperia,11.7,12.6,8.1,7.9,15.8,14.4,8.8,6.9,10.3,10.4,21.7,0.0,18.0,8.7,11.7,0.0,25.1,17.4,1.4,0.0
2019,Huntington Beach,4.9,9.4,3.1,2.4,18.8,5.9,5.7,1.9,2.4,4.7,23.3,90.3,2.2,4.4,13.6,40.9,9.6,11.2,1.0,0.0
2019,Indio,7.2,12.2,5.3,8.0,10.7,18.0,3.6,0.7,4.0,9.2,29.8,-,7.2,6.9,0.0,28.3,13.0,10.5,0.0,3.9
2019,Inglewood,12.1,17.0,9.6,14.6,20.5,10.4,8.4,10.9,7.8,14.0,26.6,19.7,12.5,11.0,17.4,4.9,43.5,14.0,9.3,0.0
2019,Irvine,8.5,7.3,3.4,9.0,57.1,13.4,13.8,5.9,9.8,7.1,9.2,0.0,12.3,6.3,6.1,0.0,42.2,6.4,2.3,0.8
2019,Jurupa Valley,10.0,15.1,8.7,5.2,19.0,7.1,8.7,1.5,2.2,13.6,14.9,24.3,4.0,8.8,17.6,12.4,20.5,18.3,7.2,0.0
