City,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
Los Angeles,404164.4598,404167.3042,404592.318,406096.6046,409226.706,408833.7613,407072.7996,402934.2872,398602.1137,394213.6107,390173.6396,388273.0383,387190.1655,387275.0478,386081.3665,384831.7809,381218.5917,379590.6552,378053.0069,375863.7594,371910.4443,367570.732,365815.4138,365139.888,364835.8161,363352.1182,360574.6189,357592.0985,355890.7246,356130.0389,358295.7089,363397.3404,370749.4429,379443.3613,387966.9979,396284.9454,402003.4257,404790.446,404981.6407,406633.5665,411159.1938,418223.0234,426588.6767,436156.0797,446789.6836,457603.4586,466421.3213,473441.2393,476454.6153,477189.3433,476136.4561,476933.4543,478690.9817,480966.9334,483551.1822,487756.6634,494310.8592,501779.3685,509019.907,515313.4735,519086.8705,520795.4969,520182.7237,519609.8609,519783.0807,521113.4881,520898.7311,518780.2906,514954.2241,511811.8893,508446.463,505554.7798,508330.2802,517958.0773,530844.1092,541668.1791,548989.1003,555620.5933,554980.7369,549165.2497,539738.1037,534826.4544,534273.4146,536858.1461,545698.3715,558782.4765,573911.9969,585706.9871,594153.4585,601175.6766,600815.2503,596922.5398,590742.3563,590172.7496,591612.8734,594582.7018,602181.3539,614841.3081,630484.2489,643881.8677,654008.7197,660567.6054,667356.4349,676460.6921,688384.9798,699849.1813,708056.5761,712409.8052,709454.1269,700675.4895,689737.6217,681427.9234,676395.3949,673391.4878,674809.9795,680916.2787,690119.7903,699291.9243,707653.715,715568.6204
San Diego,398134.23,400533.32,403141.0595,407075.7376,408829.0959,408986.6199,406689.2147,404215.2068,400949.9736,396616.8365,392758.5013,390810.4487,389677.2624,388629.6999,386134.648,384327.7289,382434.8869,381214.7919,379342.7722,375886.8684,371996.6626,368646.8257,367058.7054,365854.4014,366284.4204,367317.3688,368540.8884,368661.3126,369356.9403,371892.6262,374496.367,377704.7583,381041.9142,385582.6442,390571.6903,396090.5599,402224.409,408572.9508,414215.7603,420206.3922,427437.9902,436306.345,444233.0007,451020.0799,456743.0002,462293.6,466140.8166,469047.5351,471391.1075,474426.9404,477511.7914,481128.4125,484406.3019,487209.5562,487609.4612,487446.8213,487522.4205,489378.8042,491907.9695,494830.7237,498102.5395,501577.9078,504701.819,507138.1752,509440.5554,511860.1239,513724.0679,515918.7906,518778.098,523231.0109,527751.5649,531936.6653,536379.4338,540468.0508,543320.7436,544651.598,545276.604,546587.1749,547611.7612,549117.3932,550512.0769,553576.4327,557461.6946,562837.145,567829.4955,572510.26,575803.625,579163.9944,582012.7963,585670.6701,588344.8167,591918.0023,595631.6411,600993.8381,605740.1937,611195.7325,616112.0179,620671.9233,623708.5516,626079.7972,628875.2866,631242.7269,633200.5954,634933.5389,636471.9157,638152.5614,639000.0019,638818.084,638402.7209,637968.7977,638852.7495,640233.767,641166.9632,641985.9658,641865.5188,642445.3571,642902.9057,644614.8456,647382.5104,650739.4621
San Jose,460051.2802,461969.0025,469693.0971,473156.8861,475033.9047,470614.8005,465152.7953,461735.4475,460514.9015,459821.0781,456827.1327,452176.8489,449479.5232,445880.058,443712.7142,440961.7187,436854.4107,436096.3192,434920.677,435820.1419,431179.203,425657.3369,424228.153,423601.4331,424210.9048,424133.6246,427166.3159,432325.226,436945.3946,442438.0102,450837.4514,463054.3424,477523.8243,492364.0042,506755.9666,520386.1094,531549.007,538690.3522,542433.3894,545323.5718,550441.8967,558266.4214,569466.4999,581043.0272,592469.5569,602248.6691,611571.4346,620343.46,627248.2883,631112.8405,632317.986,632893.6869,633686.934,634650.8834,637964.6488,643954.2674,653316.9492,663724.0466,675500.6019,687027.1994,697018.8767,704653.9123,708807.4571,710431.7721,712064.2494,715527.1671,723134.2266,733472.485,747090.0595,760303.2246,771417.3254,780773.754,789379.9518,797627.8178,801177.5198,800638.8448,797001.4918,793270.9469,786894.4966,778186.5348,768577.1535,762632.2723,760485.9947,761928.7434,768904.9417,780868.853,795388.4096,807466.8472,816600.4604,825147.3812,827657.0112,825931.5792,822718.8193,825410.8975,830625.8793,840005.2225,857730.6187,888483.3779,925846.7349,965204.6326,1000072.027,1025935.786,1044307.969,1057628.8,1069928.282,1078779.167,1082629.405,1081348.933,1072225.179,1057193.464,1039633.879,1023505.916,1010750.089,999301.2026,992577.3986,989539.5153,991810.3544,994379.2403,997223.8429,1000597.046
San Francisco,667379.4349,675172.469,677039.2997,677985.2109,675332.9911,673091.1566,668338.856,667928.7155,667712.6132,666979.1327,662347.868,654993.0657,648720.8448,643064.3668,640045.9015,637045.2235,632575.7034,625955.0706,622581.1382,620943.1651,620418.7643,618295.4931,616115.355,615600.9488,615246.1514,617500.3521,622549.9557,631083.0067,641151.4552,652181.4376,663561.7569,675945.2498,688678.9318,701389.752,714740.428,727097.6622,738878.2251,748184.084,757437.8194,768194.3861,782334.0339,798815.6538,812584.671,821724.2004,828794.4709,836880.101,845016.2029,851148.0458,856989.05,865148.3003,876113.2638,890954.7274,905616.7828,919710.3543,928419.1176,935843.9144,944180.6334,955265.5333,968003.1901,981326.8581,996609.0324,1013222.825,1028767.016,1042639.075,1056898.294,1072250.648,1085495.635,1097599.282,1109882.242,1124523.133,1136499.913,1144652.782,1153086.866,1163690.451,1171773.873,1173899.446,1168863.111,1162404.869,1150702.932,1139944.254,1130360.489,1129207.243,1132660.593,1139362.182,1145789.144,1152293.957,1158911.733,1165216.879,1171614.399,1179343.089,1186632.015,1192307.534,1199447.273,1209545.677,1224435.908,1238808.742,1254291.736,1265668.346,1276198.348,1285115.466,1297983.815,1309772.19,1313863.347,1312458.745,1310291.105,1312174.407,1313519.962,1311250.175,1306153.186,1297200.048,1288392.352,1283121.341,1281107.186,1283964.966,1290062.039,1298975.945,1306905.903,1312538.35,1318441.922,1324411.596
Sacramento,166719.6654,166335.8141,166522.946,166214.0161,166115.4018,165829.2282,165701.5828,165027.3992,163260.998,161286.8829,159787.713,159477.8138,158824.0515,157490.8945,155556.9675,153716.4093,151623.5287,149159.8733,147088.3913,145744.0894,145149.0291,144043.9348,142690.9562,141355.8296,140889.0895,140892.5842,141257.0471,141582.5729,142125.8791,143032.4723,144068.5643,145403.0901,147091.6159,149470.7331,152524.3182,156042.4005,160158.211,164252.5133,168433.3473,172966.6713,178183.627,183990.9569,189171.244,193985.4407,198574.4715,203574.8912,207979.7679,211060.8157,213181.7411,214766.7962,216863.1981,219082.3722,221661.0649,223454.9565,224255.9254,224369.9984,224806.1468,225933.1581,227668.7233,229493.0958,231406.3255,233267.7603,235163.533,237216.8241,239528.2714,241926.8908,243930.479,245727.8111,248008.4387,251146.6084,254841.2545,258221.9194,261676.7924,264923.4483,268023.8466,270761.717,273313.455,275701.3455,277441.3337,278926.184,280844.7459,283152.51,285833.5995,288210.7657,290846.6637,293391.2225,296080.1826,298569.2374,300938.9844,303157.4194,305115.8064,307016.5489,309023.3929,311689.7968,314427.8441,317443.3806,320562.7264,323650.2011,326447.6715,328364.7218,330287.3128,331912.0752,333101.1338,333688.7461,333888.156,334366.4393,334813.2022,335336.7623,336194.7634,337446.666,339118.2485,340311.6912,341109.9562,341755.5363,342574.1346,343578.605,344865.9577,346613.3782,349017.0953,351276.7593
Fresno,151710.3912,153019.7498,154344.7766,154745.55,154531.9844,153843.4845,152024.6996,149646.905,147217.1926,146216.3987,146325.3846,145925.4304,144043.0265,141062.7388,138315.0664,136255.4786,134250.9483,132709.621,131493.5555,130139.1279,129226.8489,128176.5504,127762.2148,126904.6746,126622.7931,127175.9316,128188.5042,129510.8301,130872.3632,132315.4057,133590.2258,134775.8852,136163.1172,138049.662,139870.4971,141671.1769,143069.7791,144551.7941,145964.5982,147950.6508,150526.0591,153520.9965,156145.7421,158600.3755,161216.9627,164337.0277,167077.0533,168881.2767,169974.9941,170955.7524,172272.3048,173774.5811,175574.173,177119.0649,178206.1191,178794.241,179222.3797,179830.6897,180725.8328,181796.2071,182555.2656,182926.7264,183106.6846,183565.594,184342.7222,185332.4825,186536.4091,188150.0851,190005.1589,192106.1729,193680.8877,195153.2547,196432.4779,197715.8866,198500.3191,199081.5605,199397.056,199958.7131,200497.1704,201606.1781,202984.8119,204667.0293,206144.5978,207739.4882,209296.6219,210978.7474,212480.5694,214063.1165,215532.4146,217104.9778,218548.2842,220048.6833,221484.4217,223224.4005,225027.8484,227221.1235,229706.1533,232414.5774,234972.562,236879.6272,238569.8828,239987.9984,241736.8585,243429.4927,244896.9254,245953.6444,246560.3191,247420.2135,248887.8914,250970.1488,252822.6413,253762.226,253962.0583,254089.4503,254211.296,254821.5997,255408.0487,256493.8011,257691.6886,259054.5476
Long Beach,356511.5335,356969.0147,357585.1684,359745.7528,363078.7227,363496.0248,362386.2327,359219.6942,355251.1172,351049.2003,347204.1585,345191.7237,343986.7373,343505.7375,342147.5165,340631.0489,337176.5218,335279.7184,333645.6472,331263.2412,327512.7537,323522.3629,322035.5987,321547.8327,321330.3679,320177.546,318063.4328,315948.8652,314826.5382,315312.7091,316941.9227,320623.7281,325751.7608,332097.2372,338868.8745,345589.705,350385.6711,352833.7022,353554.2697,355119.3397,358799.8705,364357.6767,371148.1713,378636.8207,386662.3423,394976.7839,401836.2486,407022.7625,408935.3975,409200.6229,408782.786,410006.5851,411795.469,413586.5857,414747.0804,416886.6453,420907.5718,426285.0541,431841.8269,436812.22,439716.6233,440860.3331,440198.9728,439724.9317,440070.8686,441579.8391,442381.2771,441850.1708,439609.3988,437018.9049,433711.5521,430581.3638,433265.2925,442135.2796,454412.5196,463950.1987,469741.7032,474337.7349,472971.2231,468242.8896,460974.0943,457327.5359,456594.3085,458154.7502,465778.8347,477444.5879,490395.1046,499615.5522,505604.486,510562.1481,510396.3897,507910.8518,504108.683,504539.1215,506755.2879,510135.4404,516545.378,525306.6494,534881.3401,542701.96,549355.8343,554609.4983,559632.0481,566212.2889,575073.9974,584515.3516,591389.5079,595482.7669,593784.2823,588328.2917,580802.3873,575186.3547,571507.4873,569099.1511,570282.7484,575064.1431,582860.7554,590368.0596,596878.3367,602507.833
Bakersfield,148663.2839,149152.2572,149905.832,150251.6401,151062.3795,150826.2657,149988.4516,149146.5692,148393.3072,147818.0115,146484.3721,145244.1699,144902.7953,144266.9821,143412.1074,141952.6485,140075.1577,138331.4715,136879.9144,136267.7648,135961.0781,135515.3775,135602.2552,136162.1853,137192.3037,138496.8825,139498.1785,140658.7008,141676.2377,143233.6538,144426.7155,145688.1547,147037.1786,148932.6374,151323.3424,153917.0924,157008.3629,160260.1708,163315.0993,166342.08,169470.237,173029.4566,175998.3405,178987.498,182293.3025,186250.6031,190102.409,192763.4754,194819.1464,196474.9816,198209.4814,199910.6839,201397.4246,202978.7544,203899.4733,204522.3309,205132.407,206320.0424,207870.0848,209134.5591,210070.1583,210889.3638,211593.6887,212332.7436,212836.5305,213706.0224,214535.0565,215418.4464,216018.5799,217000.4868,218104.6899,219166.8327,220093.1699,220906.2765,221200.406,221341.1164,221098.5671,221183.5106,220933.822,220663.5153,220482.998,220798.8234,221352.1034,222107.826,222686.6819,223376.8339,224017.3686,224990.5842,225632.2256,226275.58,226296.9553,226677.5683,227131.9341,228351.107,229689.7189,231153.7424,232426.2229,233676.791,234839.075,235830.8722,236764.5652,237673.1246,238728.4185,239510.8769,240188.8323,240805.4248,241566.5805,242596.1005,243719.6248,245096.0698,246498.558,247906.6055,249059.9535,249964.0884,250469.1273,251044.4138,251553.9525,252336.8842,253291.7073,254463.5566
Oakland,334121.6942,337776.7145,340727.9825,341393.5232,342075.0048,340968.5409,338323.1685,333289.4033,328705.9951,325451.1514,324253.5816,322416.7977,320425.1741,317727.8535,315045.2693,310845.5468,305520.784,300025.0499,297481.0687,295242.4154,294240.4993,291857.2506,290140.8998,288856.0608,287086.0308,285577.0118,282786.3043,281182.1834,281025.5295,282635.1458,284148.5556,287328.9927,291456.108,297093.9246,302313.0553,308235.854,315311.2684,322692.9734,330276.6136,338500.8474,349218.7791,360650.3322,370414.2338,379614.5128,388151.7301,396804.4891,402614.567,407354.6373,411476.2019,415544.4326,419889.9968,425138.1386,431966.8673,437803.8209,441574.3011,445092.5006,449531.1162,455541.615,461692.644,468644.5413,475930.2877,483536.064,490469.6749,498132.5709,506558.9629,514951.5538,521496.9649,528972.0876,538112.0828,549977.1548,559972.8982,569727.6381,579103.5925,588654.4501,596696.458,603485.4946,608290.169,611702.9541,611544.1412,612628.1535,613468.0989,617021.9585,620509.5488,626291.7468,632811.249,639186.7526,643975.9336,649183.65,653388.9689,657745.1698,660666.6767,665459.5676,671148.6044,678157.9129,684593.2442,691981.8621,700711.5971,709498.9637,717710.1044,723922.1248,729711.739,733312.6703,733785.2363,733896.3491,733919.8204,735612.1261,735874.3655,734992.1255,732854.4158,729601.2659,728104.3519,727292.1974,727408.797,728120.8314,730159.8413,733323.7184,735581.8206,738141.0944,741450.6158,745248.2437
Riverside,210862.0771,212503.1373,213408.5136,213855.2529,215047.2086,215051.8395,214106.2056,210973.0249,209025.1992,206769.2553,207419.3257,208299.3505,209352.3489,208847.6247,208349.6954,207774.6567,207634.9047,206162.082,204703.073,203856.4884,202879.6024,201941.1168,200505.279,200157.5209,200341.6702,200595.0707,201053.7218,201712.7262,202834.6836,204111.1693,205448.1276,207222.6447,209402.3645,212132.6206,215063.4408,218583.0964,222342.376,225733.7257,229354.5892,233517.5244,239263.2659,245456.7059,251761.4081,258343.252,265119.7756,271597.2598,276657.5434,280336.646,283373.0651,285926.9647,288939.9991,292348.2102,296116.827,299118.9089,301072.0597,302887.0891,305007.029,307324.4234,309523.127,311318.9551,313144.3746,314628.514,316374.0043,318283.4508,320581.4394,322775.7334,324672.5991,327233.7889,330102.7215,333292.9945,335737.0952,337954.6718,340352.8571,342568.8971,344029.2166,344817.0843,345451.422,346582.7756,346854.474,346645.8137,345093.9961,343570.4209,341692.8709,340218.1037,341225.1407,344792.2783,350786.992,356542.6991,361103.7901,364762.3597,367787.1343,371781.4319,375914.038,380151.9722,383336.3925,386571.9798,389612.6844,392242.442,393953.4453,395438.8592,397248.4442,399411.1694,401350.4003,403410.3481,405238.3484,407347.1467,408469.1983,409213.7526,409371.662,410159.2817,410941.4485,411594.3921,411090.024,410725.5922,410903.9404,411958.5066,413622.3934,415471.4071,418020.4391,420276.7905
