RegionName,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019
Los Angeles,519086.8705,520795.4969,520182.7237,519609.8609,519783.0807,521113.4881,520898.7311,518780.2906,514954.2241,511811.8893,508446.463,505554.7798,508330.2802,517958.0773,530844.1092,541668.1791,548989.1003,555620.5933,554980.7369,549165.2497,539738.1037,534826.4544,534273.4146,536858.1461,545698.3715,558782.4765,573911.9969,585706.9871,594153.4585,601175.6766,600815.2503,596922.5398,590742.3563,590172.7496,591612.8734,594582.7018,602181.3539,614841.3081,630484.2489,643881.8677,654008.7197,660567.6054,667356.4349,676460.6921,688384.9798,699849.1813,708056.5761,712409.8052,709454.1269,700675.4895,689737.6217,681427.9234,676395.3949,673391.4878,674809.9795,680916.2787,690119.7903,699291.9243,707653.715,715568.6204
San Diego,498102.5395,501577.9078,504701.819,507138.1752,509440.5554,511860.1239,513724.0679,515918.7906,518778.098,523231.0109,527751.5649,531936.6653,536379.4338,540468.0508,543320.7436,544651.598,545276.604,546587.1749,547611.7612,549117.3932,550512.0769,553576.4327,557461.6946,562837.145,567829.4955,572510.26,575803.625,579163.9944,582012.7963,585670.6701,588344.8167,591918.0023,595631.6411,600993.8381,605740.1937,611195.7325,616112.0179,620671.9233,623708.5516,626079.7972,628875.2866,631242.7269,633200.5954,634933.5389,636471.9157,638152.5614,639000.0019,638818.084,638402.7209,637968.7977,638852.7495,640233.767,641166.9632,641985.9658,641865.5188,642445.3571,642902.9057,644614.8456,647382.5104,650739.4621
San Jose,697018.8767,704653.9123,708807.4571,710431.7721,712064.2494,715527.1671,723134.2266,733472.485,747090.0595,760303.2246,771417.3254,780773.754,789379.9518,797627.8178,801177.5198,800638.8448,797001.4918,793270.9469,786894.4966,778186.5348,768577.1535,762632.2723,760485.9947,761928.7434,768904.9417,780868.853,795388.4096,807466.8472,816600.4604,825147.3812,827657.0112,825931.5792,822718.8193,825410.8975,830625.8793,840005.2225,857730.6187,888483.3779,925846.7349,965204.6326,1000072.027,1025935.786,1044307.969,1057628.8,1069928.282,1078779.167,1082629.405,1081348.933,1072225.179,1057193.464,1039633.879,1023505.916,1010750.089,999301.2026,992577.3986,989539.5153,991810.3544,994379.2403,997223.8429,1000597.046
San Francisco,996609.0324,1013222.825,1028767.016,1042639.075,1056898.294,1072250.648,1085495.635,1097599.282,1109882.242,1124523.133,1136499.913,1144652.782,1153086.866,1163690.451,1171773.873,1173899.446,1168863.111,1162404.869,1150702.932,1139944.254,1130360.489,1129207.243,1132660.593,1139362.182,1145789.144,1152293.957,1158911.733,1165216.879,1171614.399,1179343.089,1186632.015,1192307.534,1199447.273,1209545.677,1224435.908,1238808.742,1254291.736,1265668.346,1276198.348,1285115.466,1297983.815,1309772.19,1313863.347,1312458.745,1310291.105,1312174.407,1313519.962,1311250.175,1306153.186,1297200.048,1288392.352,1283121.341,1281107.186,1283964.966,1290062.039,1298975.945,1306905.903,1312538.35,1318441.922,1324411.596
Sacramento,231406.3255,233267.7603,235163.533,237216.8241,239528.2714,241926.8908,243930.479,245727.8111,248008.4387,251146.6084,254841.2545,258221.9194,261676.7924,264923.4483,268023.8466,270761.717,273313.455,275701.3455,277441.3337,278926.184,280844.7459,283152.51,285833.5995,288210.7657,290846.6637,293391.2225,296080.1826,298569.2374,300938.9844,303157.4194,305115.8064,307016.5489,309023.3929,311689.7968,314427.8441,317443.3806,320562.7264,323650.2011,326447.6715,328364.7218,330287.3128,331912.0752,333101.1338,333688.7461,333888.156,334366.4393,334813.2022,335336.7623,336194.7634,337446.666,339118.2485,340311.6912,341109.9562,341755.5363,342574.1346,343578.605,344865.9577,346613.3782,349017.0953,351276.7593
Fresno,182555.2656,182926.7264,183106.6846,183565.594,184342.7222,185332.4825,186536.4091,188150.0851,190005.1589,192106.1729,193680.8877,195153.2547,196432.4779,197715.8866,198500.3191,199081.5605,199397.056,199958.7131,200497.1704,201606.1781,202984.8119,204667.0293,206144.5978,207739.4882,209296.6219,210978.7474,212480.5694,214063.1165,215532.4146,217104.9778,218548.2842,220048.6833,221484.4217,223224.4005,225027.8484,227221.1235,229706.1533,232414.5774,234972.562,236879.6272,238569.8828,239987.9984,241736.8585,243429.4927,244896.9254,245953.6444,246560.3191,247420.2135,248887.8914,250970.1488,252822.6413,253762.226,253962.0583,254089.4503,254211.296,254821.5997,255408.0487,256493.8011,257691.6886,259054.5476
Long Beach,439716.6233,440860.3331,440198.9728,439724.9317,440070.8686,441579.8391,442381.2771,441850.1708,439609.3988,437018.9049,433711.5521,430581.3638,433265.2925,442135.2796,454412.5196,463950.1987,469741.7032,474337.7349,472971.2231,468242.8896,460974.0943,457327.5359,456594.3085,458154.7502,465778.8347,477444.5879,490395.1046,499615.5522,505604.486,510562.1481,510396.3897,507910.8518,504108.683,504539.1215,506755.2879,510135.4404,516545.378,525306.6494,534881.3401,542701.96,549355.8343,554609.4983,559632.0481,566212.2889,575073.9974,584515.3516,591389.5079,595482.7669,593784.2823,588328.2917,580802.3873,575186.3547,571507.4873,569099.1511,570282.7484,575064.1431,582860.7554,590368.0596,596878.3367,602507.833
Bakersfield,210070.1583,210889.3638,211593.6887,212332.7436,212836.5305,213706.0224,214535.0565,215418.4464,216018.5799,217000.4868,218104.6899,219166.8327,220093.1699,220906.2765,221200.406,221341.1164,221098.5671,221183.5106,220933.822,220663.5153,220482.998,220798.8234,221352.1034,222107.826,222686.6819,223376.8339,224017.3686,224990.5842,225632.2256,226275.58,226296.9553,226677.5683,227131.9341,228351.107,229689.7189,231153.7424,232426.2229,233676.791,234839.075,235830.8722,236764.5652,237673.1246,238728.4185,239510.8769,240188.8323,240805.4248,241566.5805,242596.1005,243719.6248,245096.0698,246498.558,247906.6055,249059.9535,249964.0884,250469.1273,251044.4138,251553.9525,252336.8842,253291.7073,254463.5566
Oakland,475930.2877,483536.064,490469.6749,498132.5709,506558.9629,514951.5538,521496.9649,528972.0876,538112.0828,549977.1548,559972.8982,569727.6381,579103.5925,588654.4501,596696.458,603485.4946,608290.169,611702.9541,611544.1412,612628.1535,613468.0989,617021.9585,620509.5488,626291.7468,632811.249,639186.7526,643975.9336,649183.65,653388.9689,657745.1698,660666.6767,665459.5676,671148.6044,678157.9129,684593.2442,691981.8621,700711.5971,709498.9637,717710.1044,723922.1248,729711.739,733312.6703,733785.2363,733896.3491,733919.8204,735612.1261,735874.3655,734992.1255,732854.4158,729601.2659,728104.3519,727292.1974,727408.797,728120.8314,730159.8413,733323.7184,735581.8206,738141.0944,741450.6158,745248.2437
Riverside,313144.3746,314628.514,316374.0043,318283.4508,320581.4394,322775.7334,324672.5991,327233.7889,330102.7215,333292.9945,335737.0952,337954.6718,340352.8571,342568.8971,344029.2166,344817.0843,345451.422,346582.7756,346854.474,346645.8137,345093.9961,343570.4209,341692.8709,340218.1037,341225.1407,344792.2783,350786.992,356542.6991,361103.7901,364762.3597,367787.1343,371781.4319,375914.038,380151.9722,383336.3925,386571.9798,389612.6844,392242.442,393953.4453,395438.8592,397248.4442,399411.1694,401350.4003,403410.3481,405238.3484,407347.1467,408469.1983,409213.7526,409371.662,410159.2817,410941.4485,411594.3921,411090.024,410725.5922,410903.9404,411958.5066,413622.3934,415471.4071,418020.4391,420276.7905
