Year,City,Violent Crimes Sum
2015,Alameda Co. Sheriff's Department,510
2015,Alameda,148
2015,Albany,34
2015,Berkeley,530
2015,Emeryville,153
2015,Fremont,337
2015,Hayward,556
2015,Livermore,233
2015,Newark,101
2015,Oakland,6051
2015,Piedmont,12
2015,Pleasanton,86
2015,San Leandro,412
2015,Union City,265
2015,Alameda E. Bay Reg. Park Dist.,9
2015,CSU East Bay,2
2015,Union Pacific RR - Alameda,0
2015,Alameda BART,135
2015,Dublin,68
2015,Alameda E. Bay Mun. Util. Dist.,1
2015,UC Berkeley,35
2015,CA Highway Patrol - Alameda,1
2015,Alpine Co. Sheriff's Department,9
2015,CA Highway Patrol - Alpine,0
2015,Amador Co. Sheriff's Department,50
2015,Ione,7
2015,Jackson,15
2015,Sutter Creek,12
2015,Union Pacific RR - Amador,0
2015,CA Highway Patrol - Amador,0
2015,Butte Co. Sheriff's Department,155
2015,Biggs,24
2015,Chico,317
2015,Gridley,113
2015,Oroville,108
2015,Paradise,52
2015,Union Pacific RR - Butte,0
2015,Northern Buttes DPR,2
2015,CSU Chico,7
2015,CA Highway Patrol - Butte,0
2015,Calaveras Co. Sheriff's Department,111
2015,Angels Camp,17
2015,Union Pacific RR - Calaveras,0
2015,Calaveras DPR,1
2015,CA Highway Patrol - Calaveras,0
2015,Colusa Co. Sheriff's Department,33
2015,Colusa,6
2015,Williams,10
2015,Union Pacific RR - Colusa,0
2015,CA Highway Patrol - Colusa,0
2015,Contra Costa Co. Sheriff's Department,426
2015,Antioch,771
2015,Brentwood,110
2015,Clayton,11
2015,Concord,491
2015,El Cerrito,97
2015,Hercules,31
2015,Pinole,72
2015,Pittsburg,225
2015,Pleasant Hill,74
2015,Richmond,906
2015,San Pablo,230
2015,Walnut Creek,91
2015,Kensington,1
2015,Martinez,51
2015,Lafayette,14
2015,Moraga,7
2015,Contra Costa E. Bay Reg. Park Dist.,10
2015,Contra Costa BART,49
2015,Contra Costa Community College,3
2015,Danville,16
2015,San Ramon,27
2015,Orinda,5
2015,Union Pacific RR - Contra Costa,1
2015,Oakley,68
2015,CA Highway Patrol - Contra Costa,1
2015,Del Norte Co. Sheriff's Department,101
2015,Crescent City,41
2015,CA Highway Patrol - Del Norte,0
2015,El Dorado Co. Sheriff's Department,252
2015,Placerville,21
2015,South Lake Tahoe,65
2015,Union Pacific RR - El Dorado,0
2015,CA Highway Patrol - El Dorado,0
2015,Fresno Co. Sheriff's Department,962
2015,Clovis,239
2015,Coalinga,105
2015,Firebaugh,53
2015,Fowler,46
2015,Fresno,2871
2015,Huron,38
2015,Kerman,33
2015,Kingsburg,28
2015,Mendota,90
2015,Orange Cove,15
2015,Parlier,95
2015,Reedley,174
2015,Sanger,120
2015,Selma,188
2015,State Center Community College,7
2015,Union Pacific RR - Fresno,0
2015,San Joaquin DPR,2
2015,CSU Fresno,13
2015,CA Highway Patrol - Fresno,0
2015,Coalinga State Hospital,149
2015,Clovis Unified School,0
2015,Glenn Co. Sheriff's Department,44
2015,Orland,22
2015,Willows,40
2015,Union Pacific RR - Glenn,0
2015,CA Highway Patrol - Glenn,0
2015,Humboldt Co. Sheriff's Department,265
2015,Arcata,54
2015,Eureka,166
2015,Ferndale,1
2015,Fortuna,36
