Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Total,Total Occupied,Renter occupied,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied,Percent 25+,Percent 14-,Percent 15 to 24,Percent Uneducated,Percent Higher Education,Sum Uneducated,Sum Higher Education
2010,Alameda,2752,5.5,2234,4.5,8546,17.0,10009,19.9,2894,5.8,15544,31.0,8201,16.3,73981.0,5117.0,6.9,4014.0,5.4,5528.0,7.5,5130.0,6.9,4012.0,5.4,8151.0,11.0,12792.0,17.3,11830.0,16.0,3702.0,5.0,5104.0,6.9,4279.0,5.8,2781.0,3.8,1541.0,2.1,173.0,11.1,28011.0,605675.9,9.6,28011.0,13143.0,14868.0,233.84382476581825,46.92085252222341,53.07914747777659,65.8,19.8,12.3,10.0,53.099999999999994,4986,26639
2010,Alhambra,6236,10.1,4575,7.4,13358,21.7,12091,19.6,5497,8.9,13368,21.7,6442,10.5,83202.0,3876.0,4.7,3666.0,4.4,3176.0,3.8,4841.0,5.8,6076.0,7.3,14695.0,17.7,12326.0,14.8,12235.0,14.7,4697.0,5.6,4215.0,5.1,7457.0,9.0,3481.0,4.2,2461.0,3.0,185.0,9.2,28100.0,441616.7,10.7,28100.0,10693.0,17407.0,222.3504242686474,38.05338078291815,61.94661921708185,71.10000000000001,12.900000000000002,13.1,17.5,41.1,10811,25307
2010,Apple Valley,639,1.5,3353,7.7,14524,33.4,11690,26.9,4802,11.0,4582,10.5,3919,9.0,69387.0,4366.0,6.3,4804.0,6.9,7051.0,10.2,5062.0,7.3,4595.0,6.6,7368.0,10.6,7942.0,11.4,9880.0,14.2,4383.0,6.3,3599.0,5.2,4401.0,6.3,4421.0,6.4,1515.0,2.2,188.0,12.3,23900.0,138720.2,10.4,23900.0,16895.0,7005.0,270.94412498018363,70.69037656903767,29.309623430962343,60.4,23.4,13.899999999999999,9.2,30.5,3992,13303
2010,Bellflower,5862,12.1,5233,10.8,14391,29.6,11567,23.8,3107,6.4,7129,14.7,1274,2.6,76717.0,5466.0,7.1,5097.0,6.6,5855.0,7.6,6561.0,8.6,5175.0,6.7,10056.0,13.1,12117.0,15.8,11004.0,14.3,4351.0,5.7,3046.0,4.0,4523.0,5.9,2735.0,3.6,731.0,1.0,415.0,10.0,25199.0,311087.3,15.8,25199.0,10132.0,15067.0,540.9492029146082,40.20794475971269,59.79205524028731,62.400000000000006,21.299999999999997,15.3,22.9,23.700000000000003,11095,11510
2010,Buena Park,3799,7.4,5598,11.0,10768,21.1,13015,25.5,4133,8.1,10904,21.4,2830,5.5,80766.0,5859.0,7.3,5168.0,6.4,6041.0,7.5,5975.0,7.4,6676.0,8.3,11317.0,14.0,10330.0,12.8,13046.0,16.2,4391.0,5.4,3606.0,4.5,4027.0,5.0,3171.0,3.9,1159.0,1.4,241.0,8.6,23126.0,367803.6,9.0,23126.0,12533.0,10593.0,298.3928880964762,54.194413214563696,45.805586785436304,61.8,21.2,15.700000000000001,18.4,35.0,9397,17867
2010,Carson,6362,10.9,5724,9.8,12577,21.5,13604,23.2,5769,9.8,11339,19.3,3257,5.6,91828.0,4707.0,5.1,4589.0,5.0,6800.0,7.4,8976.0,9.8,8124.0,8.8,9558.0,10.4,11252.0,12.3,14929.0,16.3,5854.0,6.4,5745.0,6.3,7180.0,7.8,3411.0,3.7,703.0,0.8,499.0,15.1,24875.0,299226.6,8.9,24875.0,17438.0,7437.0,543.4072396219018,70.10251256281407,29.897487437185934,63.199999999999996,17.5,18.6,20.700000000000003,34.7,12086,20365
2010,Chino,5208,10.9,5477,11.5,9829,20.6,12033,25.2,3778,7.9,8059,16.9,3384,7.1,78237.0,5454.0,7.0,5514.0,7.0,6296.0,8.0,6530.0,8.3,6675.0,8.5,13373.0,17.1,11753.0,15.0,10170.0,13.0,4902.0,6.3,2249.0,2.9,3393.0,4.3,1147.0,1.5,781.0,1.0,264.0,11.8,20148.0,309884.1,5.7,20148.0,14462.0,5686.0,337.43625139000727,71.7788366090927,28.221163390907282,60.099999999999994,22.0,16.8,22.4,31.9,10685,15221
2010,Citrus Heights,2141,3.8,4506,7.9,15740,27.6,18862,33.1,5491,9.6,8148,14.3,2140,3.8,83490.0,5550.0,6.6,4956.0,5.9,4337.0,5.2,6213.0,7.4,5406.0,6.5,11790.0,14.1,11929.0,14.3,13330.0,16.0,4898.0,5.9,3984.0,4.8,5055.0,6.1,4778.0,5.7,1264.0,1.5,385.0,15.8,33165.0,171512.1,9.3,33165.0,18342.0,14823.0,461.133069828722,55.30529172320217,44.694708276797826,66.89999999999999,17.7,13.9,11.7,27.700000000000003,6647,15779
2010,Clovis,2065,3.5,3488,5.9,11213,19.1,17143,29.2,5522,9.4,12428,21.1,6933,11.8,95915.0,6656.0,6.9,7318.0,7.6,7130.0,7.4,8957.0,9.3,7062.0,7.4,12785.0,13.3,11970.0,12.5,12922.0,13.5,4660.0,4.9,4757.0,5.0,6010.0,6.3,3694.0,3.9,1994.0,2.1,165.0,14.8,32299.0,234654.3,7.6,32299.0,19503.0,12796.0,172.0273158525778,60.3826743862039,39.6173256137961,59.39999999999999,21.9,16.700000000000003,9.4,42.300000000000004,5553,24883
2010,Daly City,6588,9.4,3392,4.8,14295,20.3,17418,24.8,5620,8.0,18510,26.3,4505,6.4,101361.0,5928.0,5.8,6078.0,6.0,5757.0,5.7,6502.0,6.4,6768.0,6.7,16763.0,16.5,14040.0,13.9,14287.0,14.1,7331.0,7.2,6081.0,6.0,6757.0,6.7,3437.0,3.4,1632.0,1.6,250.0,9.8,30351.0,463131.7,6.6,30351.0,15931.0,14420.0,246.64318623533708,52.48920958123291,47.51079041876709,67.80000000000001,17.5,13.100000000000001,14.2,40.7,9980,28635
