GEO_ID,NAME,DP03_0001E,DP03_0018E,DP03_0026E,DP03_0032E,DP03_0046E,DP03_0051E,DP03_0095E
Geography,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,Estimate!!COMMUTING TO WORK!!Workers 16 years and over,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,Estimate!!INDUSTRY!!Civilian employed population 16 years and over,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,Estimate!!INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Total households,Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population
0500000US06001,"Alameda County, California",1337443,766267,848374,848374,848374,572012,1638769
0500000US06007,"Butte County, California",186137,89972,93016,93016,93016,85531,223789
0500000US06013,"Contra Costa County, California",904160,535228,549609,549609,549609,391288,1129678
0500000US06017,"El Dorado County, California",152824,79778,80713,80713,80713,69653,184404
0500000US06019,"Fresno County, California",728964,382801,392402,392402,392402,303216,969448
0500000US06023,"Humboldt County, California",113042,60227,61866,61866,61866,54230,135753
0500000US06025,"Imperial County, California",135469,60013,61106,61106,61106,44855,171672
0500000US06029,"Kern County, California",652088,331233,337906,337906,337906,270359,855550
0500000US06031,"Kings County, California",112908,58020,56775,56775,56775,43090,132848
0500000US06033,"Lake County, California",N,N,N,21480,21480,24593,63496
0500000US06037,"Los Angeles County, California",8151797,4769841,4886964,4886964,4886964,3305589,10072777
0500000US06039,"Madera County, California",116661,54476,56491,56491,56491,44369,147136
0500000US06041,"Marin County, California",212857,128386,131149,131149,131149,106333,255991
0500000US06045,"Mendocino County, California",70701,35871,37215,37215,37215,35439,86931
0500000US06047,"Merced County, California",196595,96667,99982,99982,99982,77713,265886
0500000US06053,"Monterey County, California",332496,191409,189330,189330,189330,125740,419886
0500000US06055,"Napa County, California",116212,72087,73805,73805,73805,49561,140216
0500000US06057,"Nevada County, California",83912,40111,41330,41330,41330,38708,98215
0500000US06059,"Orange County, California",2549573,1555629,1586454,1586454,1586454,1032218,3155801
0500000US06061,"Placer County, California",305585,172306,174807,174807,174807,139104,377667
0500000US06065,"Riverside County, California",1845898,976755,1003536,1003536,1003536,715040,2366438
0500000US06067,"Sacramento County, California",1192611,675257,688935,688935,688935,535090,1500522
0500000US06071,"San Bernardino County, California",1633443,877712,888554,888554,888554,633173,2089284
0500000US06073,"San Diego County, California",2668897,1605455,1573399,1573399,1573399,1110568,3220462
0500000US06075,"San Francisco County, California",763084,500469,511365,511365,511365,358703,866553
0500000US06077,"San Joaquin County, California",555510,293931,305708,305708,305708,227186,725875
0500000US06079,"San Luis Obispo County, California",237630,133597,136011,136011,136011,106312,276422
0500000US06081,"San Mateo County, California",619899,405929,414293,414293,414293,263445,761136
0500000US06083,"Santa Barbara County, California",356545,211202,215514,215514,215514,142449,439316
0500000US06085,"Santa Clara County, California",1533442,937511,979335,979335,979335,635687,1910117
0500000US06087,"Santa Cruz County, California",226906,132813,135997,135997,135997,96257,272994
0500000US06089,"Shasta County, California",145619,71058,72804,72804,72804,72095,178192
0500000US06095,"Solano County, California",352761,203069,204873,204873,204873,149172,427533
0500000US06097,"Sonoma County, California",413205,248606,254696,254696,254696,187504,498003
0500000US06099,"Stanislaus County, California",410340,217657,225288,225288,225288,172881,538462
0500000US06101,"Sutter County, California",74508,38596,39475,39475,39475,32345,95417
0500000US06107,"Tulare County, California",333486,169790,173417,173417,173417,135648,456802
0500000US06111,"Ventura County, California",673962,410448,417865,417865,417865,268091,843130
0500000US06113,"Yolo County, California",174405,92696,95244,95244,95244,73055,214550
0500000US06115,"Yuba County, California",55580,29751,28688,28688,28688,26699,72932
