Year,City,Unemployment Rate,Income
2010,Alameda,11.1,28011
2010,Alhambra,9.2,28100
2010,Anaheim,14.4,100404
2010,Antioch,15.3,30970
2010,Apple Valley,12.3,23900
2010,Arden-Arcade,14.1,39936
2010,Bakersfield,13.3,109420
2010,Baldwin Park,13.9,17045
2010,Bellflower,10.0,25199
2010,Berkeley,7.3,44724
2010,Buena Park,8.6,23126
2010,Burbank,9.2,42231
2010,Camarillo,9.6,25340
2010,Carlsbad,10.4,40934
2010,Carson,15.1,24875
2010,Chico,12.8,34128
2010,Chino,11.8,20148
2010,Chino Hills,13.5,21151
2010,Chula Vista,14.7,74991
2010,Citrus Heights,15.8,33165
2010,Clovis,14.8,32299
2010,Compton,17.2,24303
2010,Concord,13.5,44705
2010,Corona,13.4,43598
2010,Costa Mesa,11.2,39391
2010,Daly City,9.8,30351
2010,Davis,12.2,23434
2010,Downey,13.9,34108
2010,East Los Angeles,12.5,31027
2010,El Cajon,15.6,29599
2010,Elk Grove,10.2,49300
2010,El Monte,12.3,27780
2010,Escondido,10.4,43385
2010,Fairfield,12.2,34404
2010,Folsom,13.6,22381
2010,Fontana,17.3,49290
2010,Fremont,11.0,71078
2010,Fresno,16.0,152890
2010,Fullerton,11.5,42935
2010,Garden Grove,13.2,45622
2010,Glendale,12.7,68191
2010,Hawthorne,9.0,28889
2010,Hayward,18.1,43335
2010,Hemet,23.2,29954
2010,Hesperia,21.5,26411
2010,Huntington Beach,10.9,74874
2010,Indio,17.5,24519
2010,Inglewood,14.5,34712
2010,Irvine,7.8,76172
2010,Lake Forest,8.0,26602
2010,Lakewood,11.4,26485
2010,Lancaster,13.0,47466
2010,Livermore,9.2,29848
2010,Long Beach,14.4,158386
2010,Los Angeles,13.0,1310259
2010,Lynwood,16.1,15511
2010,Manteca,15.0,22451
2010,Menifee,19.2,28225
2010,Merced,13.3,23350
2010,Milpitas,8.6,19127
2010,Mission Viejo,8.3,33734
2010,Modesto,16.8,69452
2010,Moreno Valley,16.9,49040
2010,Mountain View,9.0,32019
2010,Murrieta,12.3,30651
2010,Napa,11.6,28681
2010,Newport Beach,7.4,38449
2010,Norwalk,12.4,27796
2010,Oakland,12.9,151808
2010,Oceanside,11.4,55896
2010,Ontario,16.8,42752
2010,Orange,11.2,41986
2010,Oxnard,10.1,49059
2010,Palmdale,16.3,40215
2010,Pasadena,13.4,50821
2010,Perris,22.7,15621
2010,Pittsburg,13.2,18231
2010,Pleasanton,11.0,23226
2010,Pomona,13.6,36638
2010,Rancho Cucamonga,12.0,54752
2010,Redding,15.5,33646
2010,Redlands,8.3,23736
2010,Redondo Beach,7.0,29277
2010,Redwood City,9.8,26963
2010,Rialto,16.3,23707
2010,Richmond,16.5,36033
2010,Riverside,15.8,87752
2010,Roseville,11.3,44079
2010,Sacramento,16.0,176168
2010,Salinas,10.9,40933
2010,San Bernardino,18.2,59604
2010,San Buenaventura (Ventura),11.0,40665
2010,San Diego,10.7,469635
2010,San Francisco,9.0,336012
2010,San Jose,12.7,297637
2010,San Leandro,13.2,29940
2010,San Marcos,10.2,26457
2010,San Mateo,9.3,39516
2010,San Ramon,8.2,25864
2010,Santa Ana,14.4,71288
2010,Santa Barbara,7.9,33220
2010,Santa Clara,9.6,41419
2010,Santa Clarita,11.2,60079
2010,Santa Maria,16.0,27948
2010,Santa Monica,11.3,44513
2010,Santa Rosa,14.5,61327
2010,Simi Valley,10.5,41770
2010,South Gate,17.6,23488
2010,Stockton,17.9,91200
2010,Sunnyvale,9.4,53388
2010,Temecula,13.9,31261
2010,Thousand Oaks,9.3,45316
2010,Torrance,11.5,53648
2010,Tracy,18.3,25809
2010,Turlock,12.7,23960
2010,Tustin,10.4,24057
2010,Union City,11.4,20822
2010,Upland,15.7,25870
2010,Vacaville,9.9,28430
2010,Vallejo,18.4,41042
2010,Victorville,16.8,31689
2010,Visalia,14.5,40709
2010,Vista,10.5,29982
2010,West Covina,16.2,31286
2010,Westminster,15.0,26838
2010,Whittier,10.7,27969
2010,Yorba Linda,9.3,21292
