Geography,Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
1600000US0600562,2019,"Alameda city, California",1682,2.98,3315,5.88,7109,12.61,9065,16.08,2965,5.26,19910,35.32,12319,21.86
1600000US0600884,2019,"Alhambra city, California",5503,8.87,4684,7.55,14697,23.69,9426,15.20,4119,6.64,14668,23.65,8931,14.40
1600000US0602000,2019,"Anaheim city, California",29256,12.38,23276,9.85,56179,23.77,50771,21.48,15649,6.62,39645,16.78,21548,9.12
1600000US0602252,2019,"Antioch city, California",5207,6.70,6111,7.86,22135,28.47,19723,25.37,8679,11.16,10053,12.93,5829,7.50
1600000US0602364,2019,"Apple Valley town, California",2170,4.61,3760,7.99,14478,30.75,13054,27.72,5006,10.63,4799,10.19,3819,8.11
1600000US0602553,2019,"Arden-Arcade CDP, California",3380,4.55,4189,5.64,18446,24.83,15071,20.29,7440,10.01,15893,21.39,9875,13.29
1600000US0603526,2019,"Bakersfield city, California",24274,10.43,19864,8.54,58738,25.25,55740,23.96,21941,9.43,34067,14.64,17997,7.74
1600000US0603666,2019,"Baldwin Park city, California",10151,20.21,5925,11.80,15994,31.84,9237,18.39,2203,4.39,5327,10.61,1390,2.77
1600000US0604982,2019,"Bellflower city, California",5870,11.17,7521,14.31,11557,21.99,13167,25.06,5516,10.50,6205,11.81,2712,5.16
1600000US0606000,2019,"Berkeley city, California",1361,1.79,1388,1.82,4460,5.86,8171,10.74,2474,3.25,26811,35.22,31449,41.32
1600000US0608786,2019,"Buena Park city, California",5813,9.58,3087,5.09,12811,21.12,14616,24.09,4618,7.61,14385,23.71,5341,8.80
1600000US0608954,2019,"Burbank city, California",2199,2.81,3128,4.00,10915,13.96,17299,22.13,9112,11.66,24957,31.93,10562,13.51
1600000US0610046,2019,"Camarillo city, California",1240,2.45,1613,3.19,7143,14.14,13046,25.82,4268,8.45,14384,28.47,8837,17.49
1600000US0611194,2019,"Carlsbad city, California",1140,1.36,1661,1.98,6911,8.22,16049,19.10,6954,8.28,30192,35.93,21119,25.13
1600000US0611390,2019,"Carmichael CDP, California",2111,4.35,2230,4.60,9033,18.63,11323,23.36,6559,13.53,11685,24.11,5533,11.41
1600000US0611530,2019,"Carson city, California",6184,9.26,5635,8.44,13006,19.47,16542,24.77,5499,8.23,15429,23.10,4493,6.73
1600000US0613014,2019,"Chico city, California",1944,3.20,3319,5.46,10041,16.53,14242,23.45,6408,10.55,15861,26.11,8925,14.69
1600000US0613210,2019,"Chino city, California",5040,7.30,7421,10.75,15394,22.31,16435,23.82,5998,8.69,13463,19.51,5250,7.61
1600000US0613214,2019,"Chino Hills city, California",1054,1.79,1685,2.87,7332,12.47,11960,20.34,5943,10.11,20858,35.47,9975,16.96
1600000US0613392,2019,"Chula Vista city, California",11349,6.18,19435,10.59,37664,20.52,40510,22.07,21041,11.47,38169,20.80,15354,8.37
1600000US0613588,2019,"Citrus Heights city, California",1217,1.87,4050,6.22,16946,26.04,24122,37.06,7116,10.93,7945,12.21,3689,5.67
1600000US0614218,2019,"Clovis city, California",1283,1.74,3671,4.99,12527,17.03,22843,31.05,7202,9.79,16465,22.38,9586,13.03
1600000US0615044,2019,"Compton city, California",14645,24.36,10242,17.04,16904,28.12,10674,17.76,2550,4.24,3456,5.75,1636,2.72
1600000US0616000,2019,"Concord city, California",5813,6.42,4030,4.45,16882,18.65,20904,23.09,9501,10.49,21906,24.19,11508,12.71
1600000US0616350,2019,"Corona city, California",6820,6.04,7783,6.89,29364,25.99,26927,23.84,10634,9.41,20303,17.97,11135,9.86
1600000US0616532,2019,"Costa Mesa city, California",4668,5.89,6472,8.17,14451,18.25,17054,21.53,6060,7.65,21638,27.32,8853,11.18
1600000US0617918,2019,"Daly City city, California",4641,5.90,4814,6.12,17866,22.71,14772,18.78,7178,9.13,23885,30.37,5500,6.99
1600000US0618100,2019,"Davis city, California",1261,3.48,773,2.14,3368,9.31,5137,14.20,1623,4.49,11211,30.98,12813,35.41
1600000US0619766,2019,"Downey city, California",7285,9.79,5010,6.73,21578,28.98,15151,20.35,7618,10.23,12851,17.26,4957,6.66
1600000US0620802,2019,"East Los Angeles CDP, California",21600,28.73,13110,17.43,17412,23.16,13135,17.47,3849,5.12,4682,6.23,1407,1.87
1600000US0621712,2019,"El Cajon city, California",6864,9.92,4119,5.95,16232,23.45,19333,27.93,6408,9.26,11097,16.03,5169,7.47
1600000US0622020,2019,"Elk Grove city, California",5550,4.65,5900,4.95,22699,19.03,29058,24.36,12285,10.30,28602,23.98,15176,12.72
