Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2015,Alameda,2089,3.6,2089,3.6,7242,12.3,11010,18.7,4306,7.3,21182,36.0,10862,18.5
2015,Alhambra,5402,8.3,4923,7.6,18760,28.8,9435,14.5,3932,6.0,14871,22.9,7725,11.9
2015,Anaheim,32506,14.4,25762,11.4,53477,23.6,47633,21.1,14397,6.4,39422,17.4,13082,5.8
2015,Antioch,5393,7.8,3315,4.8,17637,25.7,23049,33.5,5950,8.7,9369,13.6,4041,5.9
2015,Apple Valley,1502,3.5,4536,10.5,14301,33.1,11302,26.2,3354,7.8,4941,11.4,3219,7.5
2015,Arden-Arcade,2984,4.2,3953,5.5,15345,21.5,18583,26.1,6334,8.9,15277,21.4,8850,12.4
2015,Bakersfield,23326,10.6,22434,10.2,63568,28.8,46592,21.1,17529,7.9,30713,13.9,16564,7.5
2015,Baldwin Park,11082,22.1,6156,12.3,15636,31.1,7172,14.3,3162,6.3,5410,10.8,1583,3.2
2015,Bellflower,5350,11.5,5960,12.8,12421,26.6,10068,21.6,3719,8.0,6879,14.7,2274,4.9
2015,Berkeley,1757,2.2,1544,2.0,4479,5.7,9677,12.4,3565,4.6,25399,32.5,31751,40.6
2015,Buena Park,5133,9.3,5254,9.5,11149,20.2,12615,22.9,4009,7.3,13486,24.5,3510,6.4
2015,Burbank,3670,5.0,2815,3.8,13668,18.4,19317,26.1,6208,8.4,18292,24.7,10146,13.7
2015,Camarillo,2824,6.0,2003,4.2,6404,13.5,12871,27.1,3816,8.0,11636,24.5,7900,16.6
2015,Carlsbad,2127,2.7,1333,1.7,10575,13.3,14954,18.8,6921,8.7,24951,31.4,18536,23.3
2015,Carmichael,1027,2.3,2668,6.0,9767,21.8,12989,29.0,4052,9.0,7949,17.7,6339,14.2
2015,Carson,8217,12.4,5627,8.5,14770,22.3,14595,22.0,5321,8.0,13703,20.7,4037,6.1
2015,Chico,1334,2.5,2401,4.6,8414,16.0,13729,26.1,5612,10.7,14670,27.9,6368,12.1
2015,Chino,5006,8.4,9899,16.5,14437,24.1,14737,24.6,5613,9.4,7122,11.9,3087,5.2
2015,Chino Hills,2635,4.8,1520,2.8,8197,14.9,14926,27.1,4063,7.4,15596,28.3,8118,14.7
2015,Chula Vista,14303,8.5,15691,9.3,31693,18.8,41839,24.8,15056,8.9,36064,21.3,14379,8.5
2015,Citrus Heights,1668,2.8,3615,6.0,16617,27.7,18875,31.4,8215,13.7,8673,14.4,2383,4.0
2015,Clovis,2439,3.5,3123,4.4,15211,21.6,20138,28.7,8426,12.0,12968,18.5,7956,11.3
2015,Compton,14282,25.2,9037,15.9,14646,25.8,10594,18.7,2759,4.9,3800,6.7,1644,2.9
2015,Concord,6704,7.2,5623,6.1,18153,19.6,23749,25.6,7419,8.0,22869,24.7,8236,8.9
2015,Corona,6578,6.0,8970,8.2,27858,25.5,26457,24.2,9366,8.6,20770,19.0,9375,8.6
2015,Costa Mesa,7780,9.7,5163,6.5,10806,13.5,17684,22.1,6282,7.9,21123,26.5,11020,13.8
2015,Daly City,5774,7.3,4743,6.0,14572,18.4,18281,23.1,7692,9.7,22839,28.8,5391,6.8
2015,Davis,232,0.7,273,0.8,1722,4.9,2996,8.5,1850,5.2,11778,33.4,16461,46.6
2015,Downey,8742,11.5,9705,12.7,16429,21.5,19173,25.1,6848,9.0,11479,15.1,3892,5.1
2015,East Los Angeles,26217,35.4,12685,17.1,15134,20.5,10786,14.6,2756,3.7,5245,7.1,1149,1.6
2015,El Cajon,7170,10.9,4690,7.1,18985,28.8,17399,26.4,5121,7.8,8419,12.8,4245,6.4
2015,Elk Grove,5924,5.6,3893,3.7,19310,18.3,26757,25.4,11334,10.7,28539,27.1,9737,9.2
2015,El Monte,21728,27.7,12001,15.3,20867,26.6,8376,10.7,5049,6.4,7564,9.7,2786,3.6
2015,Escondido,14371,14.6,8958,9.1,18659,19.0,25028,25.5,8556,8.7,15031,15.3,7500,7.6
2015,Fairfield,4541,6.3,5076,7.0,17113,23.6,18970,26.2,7564,10.4,13333,18.4,5861,8.1
2015,Florence-Graham,15521,40.1,7037,18.2,8228,21.3,4488,11.6,704,1.8,2154,5.6,541,1.4
2015,Folsom,1192,2.2,2030,3.7,8493,15.6,10178,18.7,3974,7.3,16223,29.8,12324,22.6
2015,Fontana,19110,16.0,15687,13.2,34736,29.1,26623,22.3,6477,5.4,12294,10.3,4298,3.6
2015,Fremont,4406,2.7,4574,2.8,33203,20.4,24562,15.1,8320,5.1,45717,28.0,42282,25.9
2015,Fresno,41579,13.5,33664,10.9,72889,23.7,77999,25.4,21900,7.1,40962,13.3,18541,6.0
2015,Fullerton,8320,9.1,6762,7.4,14920,16.3,18647,20.4,5994,6.5,23220,25.4,13685,14.9
2015,Garden Grove,17228,14.4,15918,13.3,31688,26.6,23724,19.9,8235,6.9,17394,14.6,5108,4.3
2015,Glendale,14325,9.4,6916,4.5,31047,20.3,28118,18.4,12348,8.1,38138,24.9,22139,14.5
2015,Hawthorne,7037,12.3,7731,13.5,15843,27.6,14426,25.1,2853,5.0,6991,12.2,2533,4.4
2015,Hayward,11385,10.6,7090,6.6,32388,30.3,22933,21.5,5836,5.5,20445,19.1,6835,6.4
2015,Hemet,4582,8.8,6351,12.2,15949,30.5,15393,29.5,4745,9.1,3551,6.8,1672,3.2
2015,Hesperia,5353,10.0,5793,10.8,20096,37.6,13358,25.0,3230,6.0,3690,6.9,1956,3.7
2015,Huntington Beach,5464,3.7,6364,4.3,25497,17.3,36384,24.6,12315,8.3,36721,24.9,25005,16.9
2015,Indio,6601,11.8,6148,11.0,17100,30.5,13366,23.8,3339,5.9,6838,12.2,2745,4.9
2015,Inglewood,10576,14.4,8983,12.3,15137,20.6,19297,26.3,6177,8.4,9685,13.2,3451,4.7
2015,Irvine,2406,1.4,3235,1.9,13948,8.3,22918,13.7,9379,5.6,66222,39.5,49569,29.6
2015,Jurupa Valley,12090,19.6,7191,11.6,17295,28.0,13364,21.6,3988,6.5,5748,9.3,2102,3.4
2015,Laguna Niguel,735,1.5,1076,2.2,6446,13.4,9743,20.2,5129,10.7,15173,31.5,9852,20.5
2015,Lake Forest,2601,4.5,1937,3.3,8832,15.1,12267,21.0,5739,9.8,16630,28.5,10419,17.8
2015,Lakewood,2866,5.1,2885,5.1,13690,24.1,13697,24.1,6225,11.0,12012,21.2,5377,9.5
2015,Lancaster,6466,6.5,8426,8.5,29389,29.6,30797,31.1,8996,9.1,9832,9.9,5229,5.3
2015,Livermore,1689,2.8,2370,4.0,9697,16.2,13949,23.3,6766,11.3,16256,27.2,9013,15.1
2015,Long Beach,39518,12.5,27313,8.6,60531,19.2,70794,22.4,24764,7.8,59359,18.8,33785,10.7
2015,Los Angeles,372012,13.8,262965,9.8,543037,20.2,477244,17.8,155266,5.8,579600,21.6,297791,11.1
2015,Lynwood,9878,23.3,7890,18.6,11845,27.9,7143,16.8,2550,6.0,2356,5.6,769,1.8
2015,Manteca,3195,6.7,4916,10.3,16174,33.8,11040,23.1,5809,12.1,4973,10.4,1713,3.6
2015,Menifee,3442,6.1,4843,8.5,16216,28.6,17411,30.7,4845,8.5,5465,9.6,4453,7.9
2015,Merced,6047,13.0,5783,12.4,11458,24.6,10118,21.8,4004,8.6,5244,11.3,3839,8.3
2015,Milpitas,3301,6.1,2687,5.0,8687,16.2,9393,17.5,4332,8.1,16252,30.3,9053,16.9
2015,Mission Viejo,2448,3.5,2673,3.8,9374,13.4,16129,23.1,7427,10.6,20462,29.3,11253,16.1
2015,Modesto,14180,10.6,12269,9.1,35146,26.2,37848,28.2,10291,7.7,16439,12.2,8130,6.1
2015,Moreno Valley,16636,13.8,14799,12.2,34966,28.9,26474,21.9,9994,8.3,12392,10.2,5710,4.7
2015,Mountain View,1712,3.1,1586,2.8,7098,12.7,5355,9.6,3325,5.9,15738,28.1,21146,37.8
2015,Murrieta,2414,3.6,2951,4.3,16756,24.7,20823,30.7,5354,7.9,13245,19.5,6326,9.3
2015,Napa,7623,14.0,2117,3.9,9807,18.1,13654,25.1,4803,8.8,11384,21.0,4943,9.1
2015,Newport Beach,463,0.7,927,1.4,5367,8.2,13670,20.8,3119,4.7,25059,38.2,17062,26.0
2015,Norwalk,9489,13.8,7440,10.8,18863,27.3,15298,22.2,6099,8.8,9109,13.2,2697,3.9
2015,Oakland,34484,11.6,26540,8.9,46425,15.6,55641,18.6,15841,5.3,66787,22.4,52656,17.6
2015,Oceanside,8893,7.3,7078,5.8,26287,21.5,33969,27.7,11443,9.3,23297,19.0,11486,9.4
2015,Ontario,15798,15.4,12839,12.5,28333,27.6,23091,22.5,6555,6.4,11824,11.5,4157,4.1
2015,Orange,8138,8.7,5374,5.7,16921,18.0,22558,24.1,6990,7.5,23296,24.8,10483,11.2
2015,Oxnard,29996,24.1,12730,10.2,26561,21.3,25882,20.8,8662,6.9,14521,11.6,6334,5.1
